contig	color
contig-0000449	#009E73	chr3
contig-0000450	#009E73	chr3
contig-0000451	#D55E00	chr6
contig-0000452	#D55E00	chr6
contig-0000453	#D55E00	chr6
contig-0000454	#E6B847	chr15
contig-0000455	#E69F00	chr1
contig-0000456	#E6B847	chr15
contig-0000457	#E6B847	chr15
contig-0000458	#E6B847	chr15
contig-0000459	#CC8DB3	chr11
contig-0000460	#CC8DB3	chr11
contig-0000461	#CC8DB3	chr11
contig-0000462	#CCA0BF	chr18
contig-0000463	#666666	chr7
contig-0000464	#666666	chr7
contig-0000465	#666666	chr7
contig-0000466	#E69F00	chr1
contig-0000467	#56B4E9	chr2
contig-0000468	#56B4E9	chr2
contig-0000469	#56B4E9	chr2
contig-0000470	#808080	chr21
contig-0000471	#009E73	chr3
contig-0000472	#009E73	chr3
contig-0000473	#009E73	chr3
contig-0000474	#567DE9	chr16
contig-0000475	#009E73	chr3
contig-0000476	#009E73	chr3
contig-0000477	#CCA0BF	chr18
contig-0000478	#CCA0BF	chr18
contig-0000479	#CCA0BF	chr18
contig-0000480	#338CC2	chr19
contig-0000481	#338CC2	chr19
contig-0000482	#338CC2	chr19
contig-0000483	#338CC2	chr19
contig-0000484	#567DE9	chr16
contig-0000485	#338CC2	chr19
contig-0000486	#56B4E9	chr2
contig-0000487	#1A7FBA	chr12
contig-0000488	#1A7FBA	chr12
contig-0000489	#1A7FBA	chr12
contig-0000490	#D55E00	chr6
contig-0000491	#D55E00	chr6
contig-0000492	#D55E00	chr6
contig-0000493	#D55E00	chr6
contig-0000494	#567DE9	chr16
contig-0000495	#D55E00	chr6
contig-0000496	#D55E00	chr6
contig-0000497	#D55E00	chr6
contig-0000498	#E6C47F	chr22
contig-0000499	#0072B2	chr5
contig-0000500	#0072B2	chr5
contig-0000501	#0072B2	chr5
contig-0000502	#0072B2	chr5
contig-0000503	#0072B2	chr5
contig-0000504	#0072B2	chr5
contig-0000505	#009E73	chr3
contig-0000506	#CC79A7	chr4
contig-0000507	#CC79A7	chr4
contig-0000508	#CC79A7	chr4
contig-0000509	#CC79A7	chr4
contig-0000510	#CC79A7	chr4
contig-0000511	#CC79A7	chr4
contig-0000512	#CC79A7	chr4
contig-0000513	#CC79A7	chr4
contig-0000514	#CC79A7	chr4
contig-0000515	#CC79A7	chr4
contig-0000516	#1A7FBA	chr12
contig-0000517	#0072B2	chr5
contig-0000518	#0072B2	chr5
contig-0000519	#0072B2	chr5
contig-0000520	#E69F00	chr1
contig-0000521	#E69F00	chr1
contig-0000522	#E69F00	chr1
contig-0000523	#E69F00	chr1
contig-0000524	#D55E00	chr6
contig-0000525	#D55E00	chr6
contig-0000526	#D55E00	chr6
contig-0000527	#D57533	chr13
contig-0000528	#567DE9	chr16
contig-0000529	#E6B847	chr15
contig-0000530	#E6B847	chr15
contig-0000531	#E6B847	chr15
contig-0000532	#00B28C	chr17
contig-0000533	#00B28C	chr17
contig-0000534	#009E73	chr3
contig-0000535	#00B28C	chr17
contig-0000536	#00B28C	chr17
contig-0000537	#E6B847	chr15
contig-0000538	#D57533	chr13
contig-0000539	#E69F00	chr1
contig-0000540	#E69F00	chr1
contig-0000541	#E69F00	chr1
contig-0000542	#00B28C	chr17
contig-0000543	#009E73	chr3
contig-0000544	#009E73	chr3
contig-0000545	#009E73	chr3
contig-0000546	#CC79A7	chr4
contig-0000547	#CC79A7	chr4
contig-0000548	#CC79A7	chr4
contig-0000549	#E6AB23	chr8
contig-0000550	#E6AB23	chr8
contig-0000551	#E6AB23	chr8
contig-0000552	#E6AB23	chr8
contig-0000553	#D57533	chr13
contig-0000554	#E6AB23	chr8
contig-0000555	#D55E00	chr6
contig-0000556	#D55E00	chr6
contig-0000557	#D55E00	chr6
contig-0000559	#E6AB23	chr8
contig-0000560	#E6AB23	chr8
contig-0000561	#E6AB23	chr8
contig-0000563	#E6AB23	chr8
contig-0000564	#D57533	chr13
contig-0000565	#666666	chr7
contig-0000566	#009E73	chr3
contig-0000567	#009E73	chr3
contig-0000568	#009E73	chr3
contig-0000569	#00B28C	chr17
contig-0000570	#1A7FBA	chr12
contig-0000571	#1A7FBA	chr12
contig-0000572	#1A7FBA	chr12
contig-0000573	#808080	chr21
contig-0000574	#E6B847	chr15
contig-0000575	#CC8DB3	chr11
contig-0000576	#CC8DB3	chr11
contig-0000577	#CC8DB3	chr11
contig-0000578	#D55E00	chr6
contig-0000579	#D55E00	chr6
contig-0000580	#D55E00	chr6
contig-0000581	#00B28C	chr17
contig-0000582	#D55E00	chr6
contig-0000583	#D55E00	chr6
contig-0000584	#D55E00	chr6
contig-0000585	#808080	chr21
contig-0000586	#00B28C	chr17
contig-0000587	#D58C66	chr20
contig-0000588	#D58C66	chr20
contig-0000589	#D58C66	chr20
contig-0000590	#56B4E9	chr2
contig-0000591	#009E73	chr3
contig-0000592	#D55E00	chr6
contig-0000593	#D55E00	chr6
contig-0000594	#D55E00	chr6
contig-0000595	#E6C47F	chr22
contig-0000596	#00B28C	chr17
contig-0000597	#E6C47F	chr22
contig-0000598	#E6C47F	chr22
contig-0000599	#E6C47F	chr22
contig-0000600	#E6C47F	chr22
contig-0000601	#D57533	chr13
contig-0000602	#009E73	chr3
contig-0000603	#009E73	chr3
contig-0000604	#009E73	chr3
contig-0000605	#00B28C	chr17
contig-0000606	#E69F00	chr1
contig-0000607	#737373	chr14
contig-0000608	#737373	chr14
contig-0000609	#737373	chr14
contig-0000610	#00B28C	chr17
contig-0000611	#00B28C	chr17
contig-0000612	#D55E00	chr6
contig-0000613	#E69F00	chr1
contig-0000614	#808080	chr21
contig-0000615	#E6B847	chr15
contig-0000616	#808080	chr21
contig-0000617	#0072B2	chr5
contig-0000618	#0072B2	chr5
contig-0000619	#737373	chr14
contig-0000620	#E69F00	chr1
contig-0000621	#E6AB23	chr8
contig-0000622	#CC8DB3	chr11
contig-0000623	#CC8DB3	chr11
contig-0000624	#CC8DB3	chr11
contig-0000625	#E6B847	chr15
contig-0000626	#E6B847	chr15
contig-0000627	#E6B847	chr15
contig-0000628	#E6B847	chr15
contig-0000629	#737373	chr14
contig-0000630	#737373	chr14
contig-0000631	#E69F00	chr1
contig-0000632	#737373	chr14
contig-0000633	#E69F00	chr1
contig-0000634	#D57533	chr13
contig-0000635	#D57533	chr13
contig-0000636	#56B4E9	chr2
contig-0000637	#009E73	chr3
contig-0000638	#5699E9	chr9
contig-0000639	#0072B2	chr5
contig-0000640	#0072B2	chr5
contig-0000641	#D57533	chr13
contig-0000642	#E69F00	chr1
contig-0000643	#0072B2	chr5
contig-0000644	#00B28C	chr17
contig-0000645	#00B28C	chr17
contig-0000646	#00B28C	chr17
contig-0000647	#D57533	chr13
contig-0000648	#D57533	chr13
contig-0000649	#338CC2	chr19
contig-0000650	#338CC2	chr19
contig-0000651	#E6C47F	chr22
contig-0000652	#E6C47F	chr22
contig-0000653	#E69F00	chr1
contig-0000654	#338CC2	chr19
contig-0000655	#338CC2	chr19
contig-0000656	#338CC2	chr19
contig-0000657	#00B28C	chr17
contig-0000658	#00B28C	chr17
contig-0000659	#00B28C	chr17
contig-0000660	#00B28C	chr17
contig-0000661	#00B28C	chr17
contig-0000662	#CC79A7	chr4
contig-0000663	#CC79A7	chr4
contig-0000664	#CC79A7	chr4
contig-0000665	#CC8DB3	chr11
contig-0000666	#56B4E9	chr2
contig-0000667	#56B4E9	chr2
contig-0000668	#56B4E9	chr2
contig-0000669	#D58C66	chr20
contig-0000670	#56B4E9	chr2
contig-0000672	#CC79A7	chr4
contig-0000673	#CC79A7	chr4
contig-0000674	#CC79A7	chr4
contig-0000675	#CC79A7	chr4
contig-0000676	#808080	chr21
contig-0000677	#808080	chr21
contig-0000678	#808080	chr21
contig-0000679	#808080	chr21
contig-0000680	#808080	chr21
contig-0000681	#D57533	chr13
contig-0000682	#D57533	chr13
contig-0000683	#D57533	chr13
contig-0000684	#D57533	chr13
contig-0000685	#CC8DB3	chr11
contig-0000686	#CC8DB3	chr11
contig-0000687	#CC8DB3	chr11
contig-0000688	#CC79A7	chr4
contig-0000689	#E69F00	chr1
contig-0000690	#E69F00	chr1
contig-0000691	#E69F00	chr1
contig-0000692	#CC8DB3	chr11
contig-0000693	#0072B2	chr5
contig-0000694	#0072B2	chr5
contig-0000695	#666666	chr7
contig-0000696	#00B28C	chr17
contig-0000697	#00B28C	chr17
contig-0000698	#00B28C	chr17
contig-0000699	#CC8DB3	chr11
contig-0000700	#CC8DB3	chr11
contig-0000701	#CC8DB3	chr11
contig-0000702	#D57533	chr13
contig-0000703	#808080	chr21
contig-0000704	#E6C47F	chr22
contig-0000705	#D55E00	chr6
contig-0000706	#D55E00	chr6
contig-0000707	#D55E00	chr6
contig-0000708	#009E73	chr3
contig-0000709	#D55E00	chr6
contig-0000710	#666666	chr7
contig-0000711	#E69F00	chr1
contig-0000712	#CC79A7	chr4
contig-0000713	#CC79A7	chr4
contig-0000714	#CC79A7	chr4
contig-0000715	#D57533	chr13
contig-0000716	#808080	chr21
contig-0000717	#D57533	chr13
contig-0000718	#CC79A7	chr4
contig-0000719	#CC79A7	chr4
contig-0000720	#E6AB23	chr8
contig-0000721	#E6AB23	chr8
contig-0000722	#E6AB23	chr8
contig-0000723	#D57533	chr13
contig-0000724	#D57533	chr13
contig-0000725	#D57533	chr13
contig-0000726	#5699E9	chr9
contig-0000727	#5699E9	chr9
contig-0000728	#5699E9	chr9
contig-0000729	#737373	chr14
contig-0000730	#D57533	chr13
contig-0000731	#0072B2	chr5
contig-0000732	#00B28C	chr17
contig-0000733	#1A7FBA	chr12
contig-0000734	#CC79A7	chr4
contig-0000735	#E6AB23	chr8
contig-0000736	#00A880	chr10
contig-0000737	#808080	chr21
contig-0000738	#D57533	chr13
contig-0000739	#808080	chr21
contig-0000740	#D55E00	chr6
contig-0000741	#D55E00	chr6
contig-0000742	#D55E00	chr6
contig-0000743	#E69F00	chr1
contig-0000744	#56B4E9	chr2
contig-0000745	#56B4E9	chr2
contig-0000746	#56B4E9	chr2
contig-0000747	#E6C47F	chr22
contig-0000748	#E6C47F	chr22
contig-0000749	#E6C47F	chr22
contig-0000750	#808080	chr21
contig-0000751	#56B4E9	chr2
contig-0000752	#00B28C	chr17
contig-0000753	#D55E00	chr6
contig-0000754	#00B28C	chr17
contig-0000755	#808080	chr21
contig-0000756	#808080	chr21
contig-0000757	#808080	chr21
contig-0000758	#808080	chr21
contig-0000759	#567DE9	chr16
contig-0000760	#CC79A7	chr4
contig-0000761	#808080	chr21
contig-0000762	#56B4E9	chr2
contig-0000763	#56B4E9	chr2
contig-0000764	#56B4E9	chr2
contig-0000765	#338CC2	chr19
contig-0000766	#338CC2	chr19
contig-0000767	#338CC2	chr19
contig-0000768	#E6B847	chr15
contig-0000769	#1A7FBA	chr12
contig-0000770	#1A7FBA	chr12
contig-0000771	#1A7FBA	chr12
contig-0000772	#808080	chr21
contig-0000773	#E69F00	chr1
contig-0000774	#E69F00	chr1
contig-0000775	#E69F00	chr1
contig-0000776	#D58C66	chr20
contig-0000777	#567DE9	chr16
contig-0000778	#567DE9	chr16
contig-0000779	#567DE9	chr16
contig-0000780	#567DE9	chr16
contig-0000781	#567DE9	chr16
contig-0000782	#E69F00	chr1
contig-0000783	#808080	chr21
contig-0000784	#D55E00	chr6
contig-0000785	#E6C47F	chr22
contig-0000786	#338CC2	chr19
contig-0000787	#56B4E9	chr2
contig-0000788	#567DE9	chr16
contig-0000789	#D57533	chr13
contig-0000790	#E6C47F	chr22
contig-0000791	#00B28C	chr17
contig-0000792	#00B28C	chr17
contig-0000793	#5699E9	chr9
contig-0000794	#666666	chr7
contig-0000795	#00A880	chr10
contig-0000796	#00A880	chr10
contig-0000797	#00A880	chr10
contig-0000798	#CC8DB3	chr11
contig-0000799	#338CC2	chr19
contig-0000800	#00B28C	chr17
contig-0000801	#00B28C	chr17
contig-0000802	#00B28C	chr17
contig-0000803	#00B28C	chr17
contig-0000804	#808080	chr21
contig-0000805	#808080	chr21
contig-0000806	#808080	chr21
contig-0000807	#CC8DB3	chr11
contig-0000808	#808080	chr21
contig-0000809	#CC8DB3	chr11
contig-0000810	#CC8DB3	chr11
contig-0000811	#808080	chr21
contig-0000812	#D57533	chr13
contig-0000813	#CC8DB3	chr11
contig-0000814	#CC79A7	chr4
contig-0000815	#CC79A7	chr4
contig-0000816	#CC79A7	chr4
contig-0000817	#CC79A7	chr4
contig-0000818	#CC79A7	chr4
contig-0000819	#00A880	chr10
contig-0000820	#CC8DB3	chr11
contig-0000821	#0072B2	chr5
contig-0000822	#0072B2	chr5
contig-0000823	#0072B2	chr5
contig-0000824	#0072B2	chr5
contig-0000825	#0072B2	chr5
contig-0000826	#5699E9	chr9
contig-0000827	#CC8DB3	chr11
contig-0000828	#5699E9	chr9
contig-0000829	#5699E9	chr9
contig-0000830	#5699E9	chr9
contig-0000831	#D57533	chr13
contig-0000832	#737373	chr14
contig-0000833	#737373	chr14
contig-0000834	#CC8DB3	chr11
contig-0000835	#E69F00	chr1
contig-0000836	#E69F00	chr1
contig-0000837	#E69F00	chr1
contig-0000838	#E69F00	chr1
contig-0000839	#E69F00	chr1
contig-0000840	#5699E9	chr9
contig-0000841	#808080	chr21
contig-0000842	#CC8DB3	chr11
contig-0000843	#808080	chr21
contig-0000844	#D57533	chr13
contig-0000846	#D57533	chr13
contig-0000847	#808080	chr21
contig-0000848	#009E73	chr3
contig-0000849	#D57533	chr13
contig-0000850	#5699E9	chr9
contig-0000851	#009E73	chr3
contig-0000852	#E6B847	chr15
contig-0000853	#E6B847	chr15
contig-0000854	#E6B847	chr15
contig-0000855	#E6B847	chr15
contig-0000856	#E6B847	chr15
contig-0000857	#E6B847	chr15
contig-0000858	#E6B847	chr15
contig-0000859	#D57533	chr13
contig-0000860	#009E73	chr3
contig-0000861	#808080	chr21
contig-0000862	#E6C47F	chr22
contig-0000863	#737373	chr14
contig-0000864	#808080	chr21
contig-0000865	#5699E9	chr9
contig-0000866	#5699E9	chr9
contig-0000867	#009E73	chr3
contig-0000868	#D57533	chr13
contig-0000869	#D57533	chr13
contig-0000870	#E69F00	chr1
contig-0000871	#E69F00	chr1
contig-0000872	#E69F00	chr1
contig-0000873	#E69F00	chr1
