"sequence","count","total_length","percent_repeat","LINE","SINE","LTR","DNA","Simple_repeat","Satellite","Low_complexity"
"unassigned-0000130",447,88315,NA,10154,54720,9432,1876,4325,131,256
"unassigned-0000131",217,39610,NA,4452,27875,966,1719,933,131,0
"unassigned-0000132",327,52290,NA,1465,12739,14531,417,6132,0,7308
"unassigned-0000133",376,68807,NA,1308,15373,14668,780,13541,0,475
"unassigned-0000134",593,117261,NA,15122,24438,28048,1127,21786,0,907
"unassigned-0000135",211,40548,NA,4535,10320,9273,419,2986,0,4608
"unassigned-0000136",288,46087,NA,1308,11827,13586,419,4783,0,5825
"unassigned-0000137",163,28790,NA,811,5793,8395,258,6161,0,212
"unassigned-0000138",313,54596,NA,1308,12071,13948,679,5328,0,5772
"unassigned-0000139",463,80227,NA,1962,17789,20644,778,8252,0,7558
"unassigned-0000140",176,28786,NA,654,6245,6616,419,2865,0,4292
"unassigned-0000141",531,93506,NA,2433,20170,24749,776,10153,0,11354
"unassigned-0000142",541,91190,NA,1893,20950,20997,1032,20665,0,742
"unassigned-0000143",153,27025,NA,541,6278,6053,258,2956,0,3127
"unassigned-0000144",263,42255,NA,1352,9989,11979,258,4811,0,5542
"unassigned-0000145",175,26211,NA,811,6695,8150,258,2994,0,3528
"unassigned-0000146",522,88851,NA,2163,19413,23225,776,19803,0,672
"unassigned-0000147",186,36117,NA,811,6720,8183,258,7301,0,236
"unassigned-0000148",651,126896,NA,18542,90041,3707,3889,2524,0,244
"unassigned-0000149",321,79404,NA,34017,28757,5650,8414,771,0,548
"unassigned-0000150",253,58513,NA,20819,22668,4278,8785,639,0,268
"unassigned-0000151",189,33228,NA,811,7665,8305,419,2874,0,5407
"unassigned-0000152",307,69065,NA,19335,19169,20403,6165,2463,0,397
"unassigned-0000153",257,55152,NA,14377,16218,15340,5477,2401,0,206
"unassigned-0000154",155,25349,NA,541,6064,6415,258,5502,0,154
"unassigned-0000155",147,28472,NA,3365,21513,1480,66,197,0,308
"unassigned-0000156",176,35989,NA,3855,27238,2130,545,300,0,308
"unassigned-0000157",228,44621,NA,2626,8808,7644,516,4900,2212,3591
"unassigned-0000158",293,51692,NA,1082,12099,11118,518,5891,0,5448
"unassigned-0000159",312,54586,NA,1082,12101,11860,781,5818,0,5343
"unassigned-0000160",612,113681,NA,2503,24698,21937,1137,12289,0,12945
"unassigned-0000161",229,39451,NA,1195,9193,9605,260,7729,0,192
"unassigned-0000162",176,30344,NA,654,7510,5723,260,3259,0,3586
"unassigned-0000163",180,34415,NA,654,6708,5591,361,3671,0,3553
"unassigned-0000164",295,53741,NA,1308,12458,11257,520,5661,0,6814
"unassigned-0000165",492,159361,NA,82504,28077,27455,14068,2797,0,2263
"unassigned-0000166",252,41392,NA,1308,10044,11721,260,9081,0,192
"unassigned-0000167",324,55083,NA,1308,12949,12013,518,11840,0,282
"unassigned-0000168",305,54797,NA,1082,12034,10202,516,5615,0,7394
"unassigned-0000169",785,139629,NA,3270,31521,24810,1290,15288,0,19423
"unassigned-0000170",245,83484,NA,48738,15835,7661,10184,679,0,350
"unassigned-0000171",349,57435,NA,1308,12949,13882,506,5863,0,7371
"unassigned-0000172",749,127757,NA,3270,28607,35752,1017,26743,0,904
"unassigned-0000173",296,49365,NA,1308,11572,14305,253,10446,0,353
"unassigned-0000174",241,42397,NA,925,8627,8474,352,4008,0,4804
"unassigned-0000175",337,61338,NA,1308,12100,13164,600,6084,0,7590
"unassigned-0000176",589,103025,NA,2503,21735,27258,759,22272,0,611
"unassigned-0000177",468,80425,NA,1962,16283,19046,778,8677,0,11041
"unassigned-0000178",621,104405,NA,2346,23323,21328,1040,11514,0,14377
"unassigned-0000179",381,99487,NA,28441,15980,23234,1089,12148,0,558
"unassigned-0000180",381,66602,NA,1691,13491,20710,506,14122,0,397
"unassigned-0000181",92,5130,NA,0,0,0,0,4506,0,624
"unassigned-0000182",206,77038,NA,15599,7809,5754,1138,1280,23581,664
"unassigned-0000183",335,55908,NA,1308,12224,12823,520,13642,0,426
"unassigned-0000184",303,52517,NA,1308,10050,13488,539,11644,0,278
"unassigned-0000186",169,28403,NA,654,6112,7103,258,6371,0,182
"unassigned-0000187",2,170369,NA,0,0,0,0,17,170352,0
"unassigned-0000188",1,171546,NA,0,0,0,0,0,171546,0
"unassigned-0000189",2,216430,NA,0,0,0,0,17,216413,0
"unassigned-0000190",114,32708,NA,14010,6574,7988,2290,1669,0,0
"unassigned-0000191",102,42436,NA,2158,760,3030,220,1522,34566,180
"unassigned-0000192",194,73118,NA,10847,2843,10313,748,2265,45811,180
"unassigned-0000193",341,60975,NA,1622,13403,15790,518,6095,0,8165
"unassigned-0000194",324,55940,NA,1308,12237,14171,506,11941,0,387
"unassigned-0000195",219,35640,NA,925,8638,9485,253,3769,0,4424
"unassigned-0000196",162,32092,NA,541,6049,5871,260,3263,0,3071
"unassigned-0000197",190,33138,NA,811,6906,9450,258,3835,0,3997
"unassigned-0000198",508,85822,NA,2035,20717,16704,1040,19940,0,577
"unassigned-0000199",363,61936,NA,1308,14863,11669,780,7187,0,8590
"unassigned-0000200",589,102158,NA,2616,24058,20464,1040,11476,0,13355
"unassigned-0000201",135,65632,NA,30586,8675,23165,2869,296,0,41
"unassigned-0000202",102,45110,NA,17325,6695,18272,2590,228,0,0
"unassigned-0000203",1,185265,NA,0,0,0,0,0,185265,0
"unassigned-0000204",163,30059,NA,654,6048,6676,359,6393,0,222
"unassigned-0000206",416,70668,NA,1623,15976,18579,518,15159,0,475
"unassigned-0000207",161,28036,NA,541,6581,6182,260,3265,0,3105
"unassigned-0000210",400,68595,NA,1622,15882,18249,518,7618,0,8890
"unassigned-0000211",337,57571,NA,1352,12372,14489,518,13157,0,509
"unassigned-0000212",232,40907,NA,812,9173,6976,516,8001,0,364
"unassigned-0000213",280,46790,NA,1082,11430,12368,258,9841,0,370
"unassigned-0000214",196,34071,NA,811,7426,10029,260,3748,0,3910
"unassigned-0000215",201,37155,NA,541,8196,6455,518,3745,0,4515
"unassigned-0000216",403,72343,NA,1082,15866,14163,778,8253,0,9127
"unassigned-0000217",154,28391,NA,540,5524,7882,258,6622,0,173
"unassigned-0000218",318,53464,NA,1621,11347,18277,417,5921,0,7710
"unassigned-0000219",305,52796,NA,1622,10586,13462,359,11438,0,285
"unassigned-0000220",352,58091,NA,1622,12686,13755,516,13997,0,401
"unassigned-0000221",207,35869,NA,1081,7541,10757,260,3748,0,4802
"unassigned-0000223",363,61728,NA,1622,13401,16140,518,7140,0,7597
"unassigned-0000224",287,46018,NA,1892,10069,15504,260,10103,0,322
"unassigned-0000225",180,29318,NA,811,6711,8258,253,6582,0,175
"unassigned-0000226",381,67657,NA,1195,14692,12736,764,7459,0,8432
"unassigned-0000228",573,98365,NA,2163,22266,24277,937,11386,0,12155
"unassigned-0000229",161,26826,NA,541,6061,6195,260,5756,0,230
"unassigned-0000230",263,44223,NA,1465,9253,15509,260,9653,0,291
"unassigned-0000232",511,86470,NA,2162,18868,22684,615,18724,0,625
"unassigned-0000233",261,45162,NA,1352,9973,11966,260,5100,0,4875
"unassigned-0000234",282,47502,NA,1082,11358,9032,520,5422,0,4781
"unassigned-0000235",281,48247,NA,1082,10478,10138,520,10506,0,327
"unassigned-0000236",868,149694,NA,2705,33300,33622,1560,31585,0,976
"unassigned-0000237",204,32602,NA,812,7739,9134,260,6270,0,247
"unassigned-0000239",217,35970,NA,1081,7273,10688,357,4277,0,4221
"unassigned-0000240",133,86029,NA,0,0,0,0,6194,79835,0
"unassigned-0000241",73,44157,NA,0,0,0,0,2577,41580,0
"unassigned-0000242",157,26738,NA,541,6255,5775,258,3351,0,2864
"unassigned-0000243",1193,204648,NA,4530,47013,43554,2002,45258,206,1271
"unassigned-0000244",591,101493,NA,2703,22885,26427,935,11921,0,13407
"unassigned-0000245",512,81704,NA,2973,17619,26157,516,18413,0,534
"unassigned-0000246",535,93607,NA,1893,19792,20666,875,19308,0,707
"unassigned-0000247",584,98347,NA,2973,20648,27389,774,23119,0,675
"unassigned-0000248",248,41905,NA,541,10019,6189,516,5368,0,3999
"unassigned-0000249",218,36523,NA,541,8943,9039,417,9277,0,267
"unassigned-0000250",482,81039,NA,1623,18165,18988,778,17478,0,539
"unassigned-0000251",179,29017,NA,541,6948,6161,258,3070,0,3339
"unassigned-0000252",802,135616,NA,2974,30158,30889,1292,15656,0,15775
"unassigned-0000253",355,59388,NA,1623,13483,14121,518,7431,0,6356
"unassigned-0000254",485,82382,NA,1623,18085,17980,877,9901,0,8611
"unassigned-0000255",1826,308483,NA,6492,69517,67640,2947,37035,0,32235
"unassigned-0000256",283,44494,NA,1082,11898,11838,258,5693,0,5034
"unassigned-0000257",247,77608,NA,28548,16640,26722,2804,279,0,150
"unassigned-0000258",421,74309,NA,1352,15499,16967,774,8855,0,8310
"unassigned-0000259",339,57477,NA,1082,14345,11790,516,7245,0,6783
"unassigned-0000260",907,153328,NA,3246,34934,32590,1550,19681,0,14764
"unassigned-0000261",405,68954,NA,1623,15477,16883,516,8180,0,6726
"unassigned-0000262",495,84514,NA,1623,19008,17985,780,9790,0,8929
"unassigned-0000263",287,48588,NA,1082,11897,11589,258,5762,0,5334
"unassigned-0000264",271,46959,NA,1082,9441,11245,359,5156,0,4362
"unassigned-0000265",195,35537,NA,541,6273,6112,518,4319,0,2873
"unassigned-0000266",149,26036,NA,654,6029,5262,260,2968,0,3153
"unassigned-0000267",430,70513,NA,1962,18127,16498,679,16524,0,486
"unassigned-0000268",427,74846,NA,1736,17667,13828,780,8096,0,9776
"unassigned-0000269",1087,186750,NA,4578,44317,38243,1979,42529,0,1189
"unassigned-0000270",732,127413,NA,3157,29432,25386,1300,29083,0,768
"unassigned-0000271",280,49397,NA,1308,10840,10561,361,10832,0,224
"unassigned-0000272",153,26704,NA,1047,6017,5130,260,3001,0,3546
"unassigned-0000273",692,120817,NA,3157,27454,25945,1040,12826,0,15255
"unassigned-0000274",326,58957,NA,1308,12421,10315,612,6460,0,7168
"unassigned-0000275",326,58927,NA,1308,12422,10277,612,6469,0,7166
"unassigned-0000276",375,65306,NA,1579,14614,11977,619,7156,0,8376
"unassigned-0000277",271,44684,NA,1308,10674,10382,520,5112,0,6220
"unassigned-0000278",439,76801,NA,1962,17057,14969,773,8761,0,10409
"unassigned-0000279",291,47465,NA,1308,12044,10103,520,5516,0,6993
"unassigned-0000280",937,161797,NA,4277,38725,31045,1719,18428,0,21101
"unassigned-0000281",304,56107,NA,1308,12032,10367,520,5852,0,6987
"unassigned-0000282",524,92965,NA,1962,21060,15699,1040,11069,0,11636
"unassigned-0000283",485,85108,NA,2345,19297,18711,780,9683,0,10960
"unassigned-0000284",161,27781,NA,654,6465,5183,419,3191,0,4128
"unassigned-0000285",512,88495,NA,2503,20524,19074,780,9574,0,12653
"unassigned-0000286",329,60266,NA,1308,12422,10422,621,6645,0,7079
"unassigned-0000287",404,72068,NA,1849,15520,12552,780,7714,0,10580
"unassigned-0000288",578,98840,NA,2503,22103,25954,939,10623,0,12990
"unassigned-0000289",259,44314,NA,812,10742,6607,520,4822,0,5541
"unassigned-0000290",523,90202,NA,2120,20675,17859,778,19567,0,570
"unassigned-0000291",432,71192,NA,1962,17127,16361,672,17212,0,483
"unassigned-0000292",519,90175,NA,2233,20658,16888,773,9492,0,12561
"unassigned-0000293",229,37884,NA,1195,9409,9346,260,3934,0,5460
"unassigned-0000294",436,74848,NA,1781,17326,13610,780,8670,0,9368
"unassigned-0000295",615,147147,NA,36424,26861,35137,1351,9564,0,11577
"unassigned-0000296",194,32976,NA,654,8495,5725,419,7718,0,276
"unassigned-0000297",324,56763,NA,1421,12759,13413,520,12902,0,329
"unassigned-0000298",299,51996,NA,1308,11788,11176,513,11406,0,340
"unassigned-0000299",196,32253,NA,541,8703,7636,417,6926,0,231
"unassigned-0000300",496,85851,NA,1893,19207,21609,773,9760,0,9358
"unassigned-0000301",266,41534,NA,1082,11364,11824,258,4869,0,3816
"unassigned-0000302",166,30967,NA,541,6065,6087,359,5580,0,238
"unassigned-0000303",172,30415,NA,541,6023,6127,361,3448,0,2690
"unassigned-0000304",291,49398,NA,1082,11657,12696,260,9775,0,327
"unassigned-0000305",271,48198,NA,1082,9457,12314,361,9578,0,283
"unassigned-0000306",307,51343,NA,1082,12116,12532,361,11100,0,327
"unassigned-0000307",241,39756,NA,1082,9476,12438,260,7933,0,237
"unassigned-0000308",573,103268,NA,2006,22412,22919,1036,11424,0,12640
"unassigned-0000309",318,55077,NA,1081,12050,12163,621,6502,0,5353
"unassigned-0000310",946,162376,NA,3246,36554,38545,1560,19306,0,16743
"unassigned-0000311",762,131148,NA,2705,30098,29508,1298,15818,0,13251
"unassigned-0000312",650,116871,NA,2277,25006,23373,1296,12845,0,13771
"unassigned-0000313",477,85669,NA,1623,18071,18468,881,9832,0,7554
"unassigned-0000314",541,91714,NA,2164,21153,24108,780,10902,0,8909
"unassigned-0000315",151,26115,NA,541,5775,6119,260,5623,0,186
"unassigned-0000316",72,4046,NA,0,0,0,0,4046,0,0
"unassigned-0000317",87,4858,NA,0,0,0,0,4047,0,811
"unassigned-0000318",49,2744,NA,0,0,0,0,2478,0,266
"unassigned-0000319",56,3017,NA,0,0,0,0,3017,0,0
"unassigned-0000320",123,6799,NA,0,0,0,0,6799,0,0
"unassigned-0000321",43,2375,NA,0,0,0,0,2375,0,0
"unassigned-0000322",230,37523,NA,811,8896,8135,511,9360,0,298
"unassigned-0000323",280,48087,NA,1352,10186,14111,258,5088,0,5437
"unassigned-0000324",405,71807,NA,1962,17560,17007,679,8031,0,8340
"unassigned-0000325",470,110358,NA,21129,21594,23623,1345,7231,0,9651
"unassigned-0000326",409,69127,NA,1466,15239,13750,780,14211,0,469
"unassigned-0000327",161,28190,NA,541,6025,5919,419,3410,0,2685
"unassigned-0000328",246,41432,NA,654,9612,6497,520,8901,0,273
"unassigned-0000329",584,99206,NA,2164,21947,21995,1040,20673,0,701
"unassigned-0000330",232,40649,NA,541,9108,6215,520,8935,0,277
"unassigned-0000331",181,32371,NA,541,6300,5960,520,6494,0,230
"unassigned-0000332",546,94111,NA,1894,20946,19383,1040,19605,0,695
"unassigned-0000333",279,49137,NA,1082,9700,12513,520,9845,0,283
"unassigned-0000334",297,50867,NA,1082,10880,12052,520,10350,0,283
"unassigned-0000335",341,60694,NA,1082,12469,12791,518,12769,0,426
"unassigned-0000337",328,58614,NA,1308,12743,11373,511,6355,0,10716
"unassigned-0000338",348,59842,NA,1308,12503,16803,513,13020,0,403
"unassigned-0000339",155,8729,NA,0,0,0,0,7305,0,1424
"unassigned-0000340",195,36975,NA,654,6277,6780,352,3735,0,4112
"unassigned-0000341",136,7408,NA,0,0,0,0,7408,0,0
"unassigned-0000342",150,95552,NA,0,0,0,0,6771,88781,0
"unassigned-0000343",582,103485,NA,2164,22200,25415,1034,21485,0,564
"unassigned-0000344",529,92067,NA,2501,21356,22162,774,9586,0,11831
"unassigned-0000345",454,80218,NA,1623,18102,17366,776,9991,0,8919
"unassigned-0000346",325,58250,NA,1082,12791,14880,518,6381,0,6788
"unassigned-0000347",294,48755,NA,1082,11750,12085,516,5645,0,5538
"unassigned-0000348",278,48224,NA,1082,11768,11689,260,6355,0,4746
"unassigned-0000349",415,70273,NA,1623,17881,17467,518,7897,0,8557
"unassigned-0000350",444,73420,NA,1623,17778,19260,776,16074,0,587
"unassigned-0000351",268,46517,NA,1082,9879,9357,516,10220,0,282
"unassigned-0000352",503,131363,NA,38824,23374,32245,1346,14441,0,641
"unassigned-0000353",249,40524,NA,1082,9577,12457,260,8746,0,310
"unassigned-0000354",874,196470,NA,40675,38030,42354,1868,15545,0,15682
"unassigned-0000355",447,98034,NA,19530,19863,14915,1123,7973,0,8697
"unassigned-0000356",643,117209,NA,2501,25517,23094,1294,13666,0,13564
"unassigned-0000357",339,60136,NA,1308,12224,13568,520,13599,0,477
"unassigned-0000358",394,66496,NA,1579,14872,15070,520,14680,0,528
"unassigned-0000359",272,45788,NA,925,10782,7410,518,5101,0,5780
"unassigned-0000360",168,27704,NA,811,6691,8216,159,6585,0,200
"unassigned-0000361",674,117604,NA,2974,26052,28785,1038,12179,0,15577
"unassigned-0000362",235,43894,NA,4606,11025,10210,419,3732,0,5470
"unassigned-0000363",467,82869,NA,2395,19570,17755,778,7590,0,11344
"unassigned-0000364",727,124029,NA,3244,26794,33118,1036,28737,0,916
"unassigned-0000365",349,59415,NA,1622,13381,16429,417,13604,0,440
"unassigned-0000366",871,179651,NA,20688,33627,42146,2876,28746,16139,1328
"unassigned-0000367",460,79199,NA,1623,17882,19256,617,16053,0,436
"unassigned-0000368",604,99188,NA,2164,23817,23602,774,11919,0,10968
"unassigned-0000369",187,34150,NA,541,6350,5942,520,3805,0,4252
"unassigned-0000370",298,50649,NA,1082,11748,11181,516,10416,0,308
"unassigned-0000371",467,80300,NA,1623,17989,19328,776,16879,0,480
"unassigned-0000372",275,47160,NA,1308,10056,13959,253,9940,0,342
"unassigned-0000373",261,45341,NA,1195,9212,9137,511,4621,0,5501
"unassigned-0000374",352,60251,NA,1583,15555,12618,518,6583,0,7173
"unassigned-0000375",432,74971,NA,1623,15636,17496,774,15918,0,432
"unassigned-0000376",197,31503,NA,541,8413,6275,417,7728,0,248
