sample	haplotype	contig	length
HG00272	haplotype1	HG00272#1#CM094188.1	182896640
HG00272	haplotype1	HG00272#1#CM094189.1	171740645
HG00272	haplotype1	HG00272#1#CM094190.1	160919780
HG00272	haplotype1	HG00272#1#CM094191.1	146364341
HG00272	haplotype1	HG00272#1#CM094192.1	137879090
HG00272	haplotype1	HG00272#1#CM094193.1	134123800
HG00272	haplotype1	HG00272#1#CM094194.1	134054556
HG00272	haplotype1	HG00272#1#CM094195.1	133141574
HG00272	haplotype1	HG00272#1#CM094196.1	108060633
HG00272	haplotype1	HG00272#1#JBIRDN010000004.1	99171960
HG00272	haplotype1	HG00272#1#JBIRDN010000008.1	92608938
HG00272	haplotype1	HG00272#1#JBIRDN010000049.1	87109145
HG00272	haplotype1	HG00272#1#CM094197.1	83416655
HG00272	haplotype1	HG00272#1#CM094198.1	80601539
HG00272	haplotype1	HG00272#1#JBIRDN010000047.1	75665200
HG00272	haplotype1	HG00272#1#JBIRDN010000009.1	67568167
HG00272	haplotype1	HG00272#1#CM094200.1	66071273
HG00272	haplotype1	HG00272#1#CM094199.1	61221721
HG00272	haplotype1	HG00272#1#JBIRDN010000007.1	46683524
HG00272	haplotype1	HG00272#1#JBIRDN010000001.1	38782368
HG00272	haplotype1	HG00272#1#JBIRDN010000013.1	15215536
HG00272	haplotype1	HG00272#1#JBIRDN010000051.1	3991641
HG00272	haplotype1	HG00272#1#JBIRDN010000050.1	3967196
HG00272	haplotype1	HG00272#1#JBIRDN010000016.1	3261179
HG00272	haplotype1	HG00272#1#JBIRDN010000052.1	2628674
HG00272	haplotype1	HG00272#1#JBIRDN010000014.1	1864323
HG00272	haplotype1	HG00272#1#JBIRDN010000055.1	636228
HG00272	haplotype1	HG00272#1#JBIRDN010000053.1	514138
HG00272	haplotype1	HG00272#1#JBIRDN010000056.1	505062
HG00272	haplotype1	HG00272#1#JBIRDN010000023.1	476343
HG00272	haplotype1	HG00272#1#JBIRDN010000015.1	468200
HG00272	haplotype1	HG00272#1#JBIRDN010000020.1	452634
HG00272	haplotype1	HG00272#1#JBIRDN010000019.1	448352
HG00272	haplotype1	HG00272#1#JBIRDN010000064.1	337056
HG00272	haplotype1	HG00272#1#JBIRDN010000054.1	304551
HG00272	haplotype1	HG00272#1#JBIRDN010000021.1	268545
HG00272	haplotype1	HG00272#1#JBIRDN010000065.1	243665
HG00272	haplotype1	HG00272#1#JBIRDN010000018.1	219436
HG00272	haplotype1	HG00272#1#JBIRDN010000061.1	206786
HG00272	haplotype1	HG00272#1#JBIRDN010000022.1	206473
HG00272	haplotype1	HG00272#1#JBIRDN010000025.1	188607
HG00272	haplotype1	HG00272#1#JBIRDN010000069.1	187806
HG00272	haplotype1	HG00272#1#JBIRDN010000024.1	154809
HG00272	haplotype1	HG00272#1#JBIRDN010000026.1	154508
HG00272	haplotype1	HG00272#1#JBIRDN010000058.1	153737
HG00272	haplotype1	HG00272#1#JBIRDN010000062.1	149211
HG00272	haplotype1	HG00272#1#JBIRDN010000072.1	141723
HG00272	haplotype1	HG00272#1#JBIRDN010000067.1	123865
HG00272	haplotype1	HG00272#1#JBIRDN010000060.1	123003
HG00272	haplotype1	HG00272#1#JBIRDN010000068.1	111555
HG00272	haplotype1	HG00272#1#JBIRDN010000063.1	105610
HG00272	haplotype1	HG00272#1#JBIRDN010000017.1	102501
HG00272	haplotype1	HG00272#1#JBIRDN010000027.1	88374
HG00272	haplotype1	HG00272#1#JBIRDN010000057.1	83989
HG00272	haplotype1	HG00272#1#JBIRDN010000029.1	81363
HG00272	haplotype1	HG00272#1#JBIRDN010000034.1	78198
HG00272	haplotype1	HG00272#1#JBIRDN010000028.1	76182
HG00272	haplotype1	HG00272#1#JBIRDN010000033.1	67172
HG00272	haplotype1	HG00272#1#JBIRDN010000066.1	66903
HG00272	haplotype1	HG00272#1#JBIRDN010000030.1	66805
HG00272	haplotype1	HG00272#1#JBIRDN010000059.1	66373
HG00272	haplotype1	HG00272#1#JBIRDN010000031.1	64897
HG00272	haplotype1	HG00272#1#JBIRDN010000073.1	59950
HG00272	haplotype1	HG00272#1#JBIRDN010000037.1	56082
HG00272	haplotype1	HG00272#1#JBIRDN010000035.1	55984
HG00272	haplotype1	HG00272#1#JBIRDN010000074.1	55122
HG00272	haplotype1	HG00272#1#JBIRDN010000071.1	53084
HG00272	haplotype1	HG00272#1#JBIRDN010000036.1	52377
HG00272	haplotype1	HG00272#1#JBIRDN010000070.1	51439
HG00272	haplotype1	HG00272#1#JBIRDN010000032.1	51235
HG00272	haplotype2	HG00272#2#CM094211.1	253335360
HG00272	haplotype2	HG00272#2#CM094212.1	242510465
HG00272	haplotype2	HG00272#2#CM094213.1	200254788
HG00272	haplotype2	HG00272#2#CM094214.1	191575918
HG00272	haplotype2	HG00272#2#CM094215.1	188202763
HG00272	haplotype2	HG00272#2#CM094216.1	171421795
HG00272	haplotype2	HG00272#2#CM094217.1	162156067
HG00272	haplotype2	HG00272#2#CM094218.1	145506536
HG00272	haplotype2	HG00272#2#CM094219.1	138948257
HG00272	haplotype2	HG00272#2#CM094220.1	135472741
HG00272	haplotype2	HG00272#2#CM094221.1	133902552
HG00272	haplotype2	HG00272#2#CM094222.1	133832828
HG00272	haplotype2	HG00272#2#JBIRDO010000006.1	101095597
HG00272	haplotype2	HG00272#2#JBIRDO010000049.1	96270132
HG00272	haplotype2	HG00272#2#JBIRDO010000008.1	95717356
HG00272	haplotype2	HG00272#2#JBIRDO010000011.1	85985000
HG00272	haplotype2	HG00272#2#CM094223.1	83761918
HG00272	haplotype2	HG00272#2#CM094224.1	80492278
HG00272	haplotype2	HG00272#2#JBIRDO010000040.1	68363364
HG00272	haplotype2	HG00272#2#JBIRDO010000042.1	66697220
HG00272	haplotype2	HG00272#2#CM094225.1	63486065
HG00272	haplotype2	HG00272#2#JBIRDO010000013.1	51352516
HG00272	haplotype2	HG00272#2#JBIRDO010000010.1	46594191
HG00272	haplotype2	HG00272#2#JBIRDO010000001.1	38949081
HG00272	haplotype2	HG00272#2#JBIRDO010000005.1	27215600
HG00272	haplotype2	HG00272#2#JBIRDO010000044.1	15348454
HG00272	haplotype2	HG00272#2#JBIRDO010000048.1	3486227
HG00272	haplotype2	HG00272#2#JBIRDO010000047.1	3028178
HG00272	haplotype2	HG00272#2#JBIRDO010000052.1	2996286
HG00272	haplotype2	HG00272#2#JBIRDO010000055.1	2988642
HG00272	haplotype2	HG00272#2#JBIRDO010000014.1	1792576
HG00272	haplotype2	HG00272#2#JBIRDO010000019.1	1576036
HG00272	haplotype2	HG00272#2#JBIRDO010000053.1	712385
HG00272	haplotype2	HG00272#2#JBIRDO010000054.1	587953
HG00272	haplotype2	HG00272#2#JBIRDO010000050.1	494481
HG00272	haplotype2	HG00272#2#JBIRDO010000017.1	455206
HG00272	haplotype2	HG00272#2#JBIRDO010000061.1	378463
HG00272	haplotype2	HG00272#2#JBIRDO010000056.1	340325
HG00272	haplotype2	HG00272#2#JBIRDO010000057.1	335304
HG00272	haplotype2	HG00272#2#JBIRDO010000051.1	282887
HG00272	haplotype2	HG00272#2#JBIRDO010000059.1	252600
HG00272	haplotype2	HG00272#2#JBIRDO010000062.1	224936
HG00272	haplotype2	HG00272#2#JBIRDO010000021.1	220775
HG00272	haplotype2	HG00272#2#JBIRDO010000060.1	181810
HG00272	haplotype2	HG00272#2#JBIRDO010000027.1	180458
HG00272	haplotype2	HG00272#2#JBIRDO010000066.1	178405
HG00272	haplotype2	HG00272#2#JBIRDO010000018.1	166637
HG00272	haplotype2	HG00272#2#JBIRDO010000022.1	157888
HG00272	haplotype2	HG00272#2#JBIRDO010000016.1	134668
HG00272	haplotype2	HG00272#2#JBIRDO010000058.1	128722
HG00272	haplotype2	HG00272#2#JBIRDO010000029.1	123955
HG00272	haplotype2	HG00272#2#JBIRDO010000020.1	117801
HG00272	haplotype2	HG00272#2#JBIRDO010000064.1	115369
HG00272	haplotype2	HG00272#2#JBIRDO010000023.1	107567
HG00272	haplotype2	HG00272#2#JBIRDO010000030.1	101555
HG00272	haplotype2	HG00272#2#JBIRDO010000028.1	68650
HG00272	haplotype2	HG00272#2#JBIRDO010000063.1	66903
HG00272	haplotype2	HG00272#2#JBIRDO010000025.1	63227
HG00272	haplotype2	HG00272#2#JBIRDO010000031.1	63116
HG00272	haplotype2	HG00272#2#JBIRDO010000015.1	58727
HG00272	haplotype2	HG00272#2#JBIRDO010000034.1	56011
HG00272	haplotype2	HG00272#2#JBIRDO010000033.1	55871
HG00272	haplotype2	HG00272#2#JBIRDO010000024.1	53898
HG00272	haplotype2	HG00272#2#JBIRDO010000032.1	53726
HG00272	haplotype2	HG00272#2#JBIRDO010000065.1	53067
HG00272	haplotype2	HG00272#2#JBIRDO010000067.1	51662
HG00272	haplotype2	HG00272#2#JBIRDO010000026.1	50876
HG00272	haplotype2	HG00272#2#JBIRDO010000068.1	16573
HG005	haplotype1	HG005#1#CM099984.1	242674373
HG005	haplotype1	HG005#1#CM099985.1	200510090
HG005	haplotype1	HG005#1#JAHEPO020000009.1	187015727
HG005	haplotype1	HG005#1#CM099986.1	172720564
HG005	haplotype1	HG005#1#CM099987.1	161776623
HG005	haplotype1	HG005#1#CM099988.1	145250754
HG005	haplotype1	HG005#1#CM099989.1	143649743
HG005	haplotype1	HG005#1#JAHEPO020000004.1	136021256
HG005	haplotype1	HG005#1#CM099990.1	135360093
HG005	haplotype1	HG005#1#CM099991.1	133877096
HG005	haplotype1	HG005#1#JAHEPO020000054.1	127803453
HG005	haplotype1	HG005#1#JAHEPO020000011.1	118492776
HG005	haplotype1	HG005#1#JAHEPO020000061.1	103260180
HG005	haplotype1	HG005#1#JAHEPO020000053.1	96483310
HG005	haplotype1	HG005#1#JAHEPO020000013.1	94791601
HG005	haplotype1	HG005#1#CM099992.1	84394597
HG005	haplotype1	HG005#1#JAHEPO020000056.1	83843307
HG005	haplotype1	HG005#1#JAHEPO020000005.1	73623750
HG005	haplotype1	HG005#1#CM099994.1	66982970
HG005	haplotype1	HG005#1#JAHEPO020000015.1	61667755
HG005	haplotype1	HG005#1#CM099993.1	60960980
HG005	haplotype1	HG005#1#JAHEPO020000007.1	46845574
HG005	haplotype1	HG005#1#JAHEPO020000055.1	45727099
HG005	haplotype1	HG005#1#JAHEPO020000014.1	40508024
HG005	haplotype1	HG005#1#JAHEPO020000064.1	37931726
HG005	haplotype1	HG005#1#JAHEPO020000010.1	26800850
HG005	haplotype1	HG005#1#JAHEPO020000065.1	21999773
HG005	haplotype1	HG005#1#JAHEPO020000068.1	20972522
HG005	haplotype1	HG005#1#JAHEPO020000003.1	17773653
HG005	haplotype1	HG005#1#JAHEPO020000069.1	8680292
HG005	haplotype1	HG005#1#JAHEPO020000012.1	6458677
HG005	haplotype1	HG005#1#JAHEPO020000070.1	4225282
HG005	haplotype1	HG005#1#JAHEPO020000072.1	3301838
HG005	haplotype1	HG005#1#JAHEPO020000066.1	3181321
HG005	haplotype1	HG005#1#JAHEPO020000019.1	2718996
HG005	haplotype1	HG005#1#JAHEPO020000071.1	2445760
HG005	haplotype1	HG005#1#JAHEPO020000075.1	2407499
HG005	haplotype1	HG005#1#JAHEPO020000020.1	1528721
HG005	haplotype1	HG005#1#JAHEPO020000074.1	784981
HG005	haplotype1	HG005#1#JAHEPO020000080.1	545960
HG005	haplotype1	HG005#1#JAHEPO020000022.1	469531
HG005	haplotype1	HG005#1#JAHEPO020000073.1	432568
HG005	haplotype1	HG005#1#JAHEPO020000082.1	415071
HG005	haplotype1	HG005#1#JAHEPO020000040.1	375764
HG005	haplotype1	HG005#1#JAHEPO020000078.1	348231
HG005	haplotype1	HG005#1#JAHEPO020000086.1	318515
HG005	haplotype1	HG005#1#JAHEPO020000077.1	289306
HG005	haplotype1	HG005#1#JAHEPO020000021.1	275342
HG005	haplotype1	HG005#1#JAHEPO020000031.1	263157
HG005	haplotype1	HG005#1#JAHEPO020000088.1	236271
HG005	haplotype1	HG005#1#JAHEPO020000087.1	230491
HG005	haplotype1	HG005#1#JAHEPO020000032.1	230312
HG005	haplotype1	HG005#1#JAHEPO020000035.1	228297
HG005	haplotype1	HG005#1#JAHEPO020000076.1	213458
HG005	haplotype1	HG005#1#JAHEPO020000094.1	213067
HG005	haplotype1	HG005#1#JAHEPO020000081.1	206243
HG005	haplotype1	HG005#1#JAHEPO020000093.1	195254
HG005	haplotype1	HG005#1#JAHEPO020000042.1	194997
HG005	haplotype1	HG005#1#JAHEPO020000034.1	182724
HG005	haplotype1	HG005#1#JAHEPO020000100.1	177681
HG005	haplotype1	HG005#1#JAHEPO020000091.1	173717
HG005	haplotype1	HG005#1#JAHEPO020000046.1	169697
HG005	haplotype1	HG005#1#JAHEPO020000023.1	162044
HG005	haplotype1	HG005#1#JAHEPO020000102.1	160677
HG005	haplotype1	HG005#1#JAHEPO020000018.1	157803
HG005	haplotype1	HG005#1#JAHEPO020000025.1	154446
HG005	haplotype1	HG005#1#JAHEPO020000028.1	149342
HG005	haplotype1	HG005#1#JAHEPO020000089.1	148856
HG005	haplotype1	HG005#1#JAHEPO020000095.1	148398
HG005	haplotype1	HG005#1#JAHEPO020000097.1	146100
HG005	haplotype1	HG005#1#JAHEPO020000024.1	142825
HG005	haplotype1	HG005#1#JAHEPO020000038.1	140997
HG005	haplotype1	HG005#1#JAHEPO020000036.1	137900
HG005	haplotype1	HG005#1#JAHEPO020000050.1	133932
HG005	haplotype1	HG005#1#JAHEPO020000041.1	128160
HG005	haplotype1	HG005#1#JAHEPO020000017.1	123806
HG005	haplotype1	HG005#1#JAHEPO020000045.1	119629
HG005	haplotype1	HG005#1#JAHEPO020000027.1	118531
HG005	haplotype1	HG005#1#JAHEPO020000048.1	114946
HG005	haplotype1	HG005#1#JAHEPO020000109.1	113397
HG005	haplotype1	HG005#1#JAHEPO020000030.1	103958
HG005	haplotype1	HG005#1#JAHEPO020000043.1	103315
HG005	haplotype1	HG005#1#JAHEPO020000033.1	102019
HG005	haplotype1	HG005#1#JAHEPO020000047.1	99233
HG005	haplotype1	HG005#1#JAHEPO020000083.1	99166
HG005	haplotype1	HG005#1#JAHEPO020000079.1	98813
HG005	haplotype1	HG005#1#JAHEPO020000016.1	98194
HG005	haplotype1	HG005#1#JAHEPO020000084.1	97173
HG005	haplotype1	HG005#1#JAHEPO020000085.1	86529
HG005	haplotype1	HG005#1#JAHEPO020000106.1	83626
HG005	haplotype1	HG005#1#JAHEPO020000090.1	80045
HG005	haplotype1	HG005#1#JAHEPO020000037.1	78852
HG005	haplotype1	HG005#1#JAHEPO020000039.1	72658
HG005	haplotype1	HG005#1#JAHEPO020000096.1	70650
HG005	haplotype1	HG005#1#JAHEPO020000101.1	69225
HG005	haplotype1	HG005#1#JAHEPO020000098.1	68478
HG005	haplotype1	HG005#1#JAHEPO020000099.1	67201
HG005	haplotype1	HG005#1#JAHEPO020000026.1	63706
HG005	haplotype1	HG005#1#JAHEPO020000092.1	61794
HG005	haplotype1	HG005#1#JAHEPO020000107.1	60283
HG005	haplotype1	HG005#1#JAHEPO020000049.1	59900
HG005	haplotype1	HG005#1#JAHEPO020000029.1	58741
HG005	haplotype1	HG005#1#JAHEPO020000067.1	57502
HG005	haplotype1	HG005#1#JAHEPO020000104.1	57359
HG005	haplotype1	HG005#1#JAHEPO020000051.1	56048
HG005	haplotype1	HG005#1#JAHEPO020000044.1	55456
HG005	haplotype1	HG005#1#JAHEPO020000105.1	54738
HG005	haplotype1	HG005#1#JAHEPO020000103.1	51955
HG005	haplotype1	HG005#1#JAHEPO020000110.1	51679
HG005	haplotype1	HG005#1#JAHEPO020000108.1	50829
HG005	haplotype2	HG005#2#CM099973.1	242296380
HG005	haplotype2	HG005#2#CM099974.1	200852347
HG005	haplotype2	HG005#2#JAHEPN020000071.1	190170087
HG005	haplotype2	HG005#2#CM099975.1	172083328
HG005	haplotype2	HG005#2#CM099976.1	160679575
HG005	haplotype2	HG005#2#CM099977.1	145152378
HG005	haplotype2	HG005#2#JAHEPN020000009.1	135419260
HG005	haplotype2	HG005#2#CM099980.1	134978464
HG005	haplotype2	HG005#2#CM099979.1	134814461
HG005	haplotype2	HG005#2#CM099978.1	133010346
HG005	haplotype2	HG005#2#JAHEPN020000002.1	131935923
HG005	haplotype2	HG005#2#JAHEPN020000012.1	118386819
HG005	haplotype2	HG005#2#JAHEPN020000005.1	103220907
HG005	haplotype2	HG005#2#JAHEPN020000011.1	98117127
HG005	haplotype2	HG005#2#JAHEPN020000019.1	97226772
HG005	haplotype2	HG005#2#JAHEPN020000004.1	90991069
HG005	haplotype2	HG005#2#JAHEPN020000076.1	90711266
HG005	haplotype2	HG005#2#CM099981.1	85189087
HG005	haplotype2	HG005#2#JAHEPN020000077.1	70049782
HG005	haplotype2	HG005#2#CM099983.1	67203870
HG005	haplotype2	HG005#2#CM099982.1	63280514
HG005	haplotype2	HG005#2#JAHEPN020000010.1	61893789
HG005	haplotype2	HG005#2#JAHEPN020000007.1	52202448
HG005	haplotype2	HG005#2#JAHEPN020000080.1	47070283
HG005	haplotype2	HG005#2#JAHEPN020000016.1	41602206
HG005	haplotype2	HG005#2#JAHEPN020000014.1	39565867
HG005	haplotype2	HG005#2#JAHEPN020000017.1	35896087
HG005	haplotype2	HG005#2#JAHEPN020000024.1	22786139
HG005	haplotype2	HG005#2#JAHEPN020000081.1	18431985
HG005	haplotype2	HG005#2#JAHEPN020000028.1	6005727
HG005	haplotype2	HG005#2#JAHEPN020000083.1	4131544
HG005	haplotype2	HG005#2#JAHEPN020000086.1	4011633
HG005	haplotype2	HG005#2#JAHEPN020000075.1	3801315
HG005	haplotype2	HG005#2#JAHEPN020000093.1	3371759
HG005	haplotype2	HG005#2#JAHEPN020000090.1	2851360
HG005	haplotype2	HG005#2#JAHEPN020000084.1	2702913
HG005	haplotype2	HG005#2#JAHEPN020000029.1	2529096
HG005	haplotype2	HG005#2#JAHEPN020000021.1	2456482
HG005	haplotype2	HG005#2#JAHEPN020000022.1	2139372
HG005	haplotype2	HG005#2#JAHEPN020000036.1	1794865
HG005	haplotype2	HG005#2#JAHEPN020000020.1	1267049
HG005	haplotype2	HG005#2#JAHEPN020000099.1	896261
HG005	haplotype2	HG005#2#JAHEPN020000088.1	890629
HG005	haplotype2	HG005#2#JAHEPN020000101.1	832858
HG005	haplotype2	HG005#2#JAHEPN020000035.1	563914
HG005	haplotype2	HG005#2#JAHEPN020000089.1	526502
HG005	haplotype2	HG005#2#JAHEPN020000091.1	524299
HG005	haplotype2	HG005#2#JAHEPN020000025.1	511297
HG005	haplotype2	HG005#2#JAHEPN020000079.1	439176
HG005	haplotype2	HG005#2#JAHEPN020000034.1	434474
HG005	haplotype2	HG005#2#JAHEPN020000092.1	433026
HG005	haplotype2	HG005#2#JAHEPN020000098.1	428208
HG005	haplotype2	HG005#2#JAHEPN020000023.1	413023
HG005	haplotype2	HG005#2#JAHEPN020000026.1	376928
HG005	haplotype2	HG005#2#JAHEPN020000110.1	331317
HG005	haplotype2	HG005#2#JAHEPN020000041.1	316420
HG005	haplotype2	HG005#2#JAHEPN020000043.1	312052
HG005	haplotype2	HG005#2#JAHEPN020000030.1	311879
HG005	haplotype2	HG005#2#JAHEPN020000052.1	295806
HG005	haplotype2	HG005#2#JAHEPN020000057.1	282606
HG005	haplotype2	HG005#2#JAHEPN020000047.1	248458
HG005	haplotype2	HG005#2#JAHEPN020000027.1	236022
HG005	haplotype2	HG005#2#JAHEPN020000104.1	222714
HG005	haplotype2	HG005#2#JAHEPN020000044.1	204762
HG005	haplotype2	HG005#2#JAHEPN020000095.1	193416
HG005	haplotype2	HG005#2#JAHEPN020000039.1	186546
HG005	haplotype2	HG005#2#JAHEPN020000100.1	185261
HG005	haplotype2	HG005#2#JAHEPN020000050.1	185206
HG005	haplotype2	HG005#2#JAHEPN020000032.1	184093
HG005	haplotype2	HG005#2#JAHEPN020000040.1	183221
HG005	haplotype2	HG005#2#JAHEPN020000087.1	174083
HG005	haplotype2	HG005#2#JAHEPN020000045.1	172262
HG005	haplotype2	HG005#2#JAHEPN020000127.1	172090
HG005	haplotype2	HG005#2#JAHEPN020000102.1	170794
HG005	haplotype2	HG005#2#JAHEPN020000096.1	167674
HG005	haplotype2	HG005#2#JAHEPN020000046.1	156273
HG005	haplotype2	HG005#2#JAHEPN020000129.1	152562
HG005	haplotype2	HG005#2#JAHEPN020000117.1	137214
HG005	haplotype2	HG005#2#JAHEPN020000048.1	133541
HG005	haplotype2	HG005#2#JAHEPN020000109.1	133194
HG005	haplotype2	HG005#2#JAHEPN020000103.1	132229
HG005	haplotype2	HG005#2#JAHEPN020000131.1	126561
HG005	haplotype2	HG005#2#JAHEPN020000056.1	124257
HG005	haplotype2	HG005#2#JAHEPN020000120.1	121522
HG005	haplotype2	HG005#2#JAHEPN020000042.1	121325
HG005	haplotype2	HG005#2#JAHEPN020000132.1	116301
HG005	haplotype2	HG005#2#JAHEPN020000051.1	113811
HG005	haplotype2	HG005#2#JAHEPN020000106.1	110376
HG005	haplotype2	HG005#2#JAHEPN020000082.1	108535
HG005	haplotype2	HG005#2#JAHEPN020000065.1	106466
HG005	haplotype2	HG005#2#JAHEPN020000133.1	105559
HG005	haplotype2	HG005#2#JAHEPN020000059.1	104512
HG005	haplotype2	HG005#2#JAHEPN020000113.1	104344
HG005	haplotype2	HG005#2#JAHEPN020000112.1	102998
HG005	haplotype2	HG005#2#JAHEPN020000116.1	102253
HG005	haplotype2	HG005#2#JAHEPN020000128.1	97809
HG005	haplotype2	HG005#2#JAHEPN020000054.1	97212
HG005	haplotype2	HG005#2#JAHEPN020000031.1	96526
HG005	haplotype2	HG005#2#JAHEPN020000055.1	92646
HG005	haplotype2	HG005#2#JAHEPN020000111.1	91493
HG005	haplotype2	HG005#2#JAHEPN020000108.1	90867
HG005	haplotype2	HG005#2#JAHEPN020000067.1	88755
HG005	haplotype2	HG005#2#JAHEPN020000107.1	88246
HG005	haplotype2	HG005#2#JAHEPN020000033.1	86063
HG005	haplotype2	HG005#2#JAHEPN020000070.1	85783
HG005	haplotype2	HG005#2#JAHEPN020000058.1	84998
HG005	haplotype2	HG005#2#JAHEPN020000105.1	84541
HG005	haplotype2	HG005#2#JAHEPN020000123.1	83511
HG005	haplotype2	HG005#2#JAHEPN020000085.1	78871
HG005	haplotype2	HG005#2#JAHEPN020000115.1	78726
HG005	haplotype2	HG005#2#JAHEPN020000094.1	78650
HG005	haplotype2	HG005#2#JAHEPN020000062.1	77921
HG005	haplotype2	HG005#2#JAHEPN020000038.1	75575
HG005	haplotype2	HG005#2#JAHEPN020000134.1	74957
HG005	haplotype2	HG005#2#JAHEPN020000049.1	74227
HG005	haplotype2	HG005#2#JAHEPN020000061.1	73717
HG005	haplotype2	HG005#2#JAHEPN020000118.1	73401
HG005	haplotype2	HG005#2#JAHEPN020000097.1	72619
HG005	haplotype2	HG005#2#JAHEPN020000126.1	71803
HG005	haplotype2	HG005#2#JAHEPN020000124.1	71253
HG005	haplotype2	HG005#2#JAHEPN020000064.1	69799
HG005	haplotype2	HG005#2#JAHEPN020000060.1	63141
HG005	haplotype2	HG005#2#JAHEPN020000066.1	62501
HG005	haplotype2	HG005#2#JAHEPN020000114.1	61139
HG005	haplotype2	HG005#2#JAHEPN020000121.1	58492
HG005	haplotype2	HG005#2#JAHEPN020000125.1	58362
HG005	haplotype2	HG005#2#JAHEPN020000119.1	57077
HG005	haplotype2	HG005#2#JAHEPN020000063.1	56943
HG005	haplotype2	HG005#2#JAHEPN020000130.1	55731
HG005	haplotype2	HG005#2#JAHEPN020000037.1	55329
HG005	haplotype2	HG005#2#JAHEPN020000069.1	54916
HG005	haplotype2	HG005#2#JAHEPN020000053.1	51146
HG005	haplotype2	HG005#2#JAHEPN020000068.1	50364
HG005	haplotype2	HG005#2#JAHEPN020000122.1	50083
HG005	haplotype2	HG005#2#JAHEPN020000135.1	16566
HG00639	haplotype1	HG00639#1#CM088536.1	242076479
HG00639	haplotype1	HG00639#1#CM088537.1	201033797
HG00639	haplotype1	HG00639#1#CM088538.1	191011595
HG00639	haplotype1	HG00639#1#CM088539.1	182766292
HG00639	haplotype1	HG00639#1#CM088540.1	171788643
HG00639	haplotype1	HG00639#1#CM088541.1	160340156
HG00639	haplotype1	HG00639#1#CM088550.1	154824456
HG00639	haplotype1	HG00639#1#JBHIHE010000002.1	147592324
HG00639	haplotype1	HG00639#1#CM088542.1	145355388
HG00639	haplotype1	HG00639#1#CM088543.1	136795402
HG00639	haplotype1	HG00639#1#CM088544.1	134684093
HG00639	haplotype1	HG00639#1#CM088545.1	134186796
HG00639	haplotype1	HG00639#1#CM088546.1	133374946
HG00639	haplotype1	HG00639#1#CM088547.1	101666571
HG00639	haplotype1	HG00639#1#JBHIHE010000008.1	97195541
HG00639	haplotype1	HG00639#1#JBHIHE010000017.1	93291467
HG00639	haplotype1	HG00639#1#JBHIHE010000053.1	89427320
HG00639	haplotype1	HG00639#1#CM088548.1	87858071
HG00639	haplotype1	HG00639#1#CM088549.1	80856252
HG00639	haplotype1	HG00639#1#JBHIHE010000016.1	64954280
HG00639	haplotype1	HG00639#1#JBHIHE010000015.1	45536663
