sample	chromosome	haplotype	contig	start	end	length	strand
			T2T00_1_chr8_haplotype2-0000071	41859513	47529041	5669528	
			T2T00_1_chr9_haplotype1-0000005	39124963	47900839	8775876	
			T2T00_1_chr9_haplotype1-0000005	61730701	66409236	4678535	
			T2T00_1_chr9_haplotype2-0000052	39143535	47980271	8836736	
			T2T00_1_chr9_haplotype2-0000052	62182359	66860716	4678357	
			T2T00_1_rc-chr10_haplotype2-0000057	38058753	43575534	5516781	
			T2T00_1_rc-chr12_haplotype1-0000001	33360555	39317926	5957371	
			T2T00_1_rc-chr12_haplotype2-0000049	33364815	40071295	6706480	
			T2T00_1_rc-chr13_haplotype1-0000016	1	11995715	11995714	
			T2T00_1_rc-chr13_haplotype2-0000065	584438	13782804	13198366	
			T2T00_1_rc-chr14_haplotype1-0000002	5307305	12463095	7155790	
			T2T00_1_rc-chr14_haplotype2-0000081	527625	15575590	15047965	
			T2T00_1_rc-chr16_haplotype1-0000021	31902464	40685889	8783425	
			T2T00_1_rc-chr16_haplotype2-0000072	32466742	38512489	6045747	
			T2T00_1_rc-chr17_haplotype1-0000015	22462362	27952961	5490599	
			T2T00_1_rc-chr17_haplotype2-0000066	22457716	28473251	6015535	
			T2T00_1_rc-chr18_haplotype1-0000006	14369386	20907147	6537761	
			T2T00_1_rc-chr18_haplotype2-0000056	14376711	23099028	8722317	
			T2T00_1_rc-chr19_haplotype1-0000026	23460138	31811957	8351819	
			T2T00_1_rc-chr20_haplotype1-0000012	25344952	32169993	6825041	
			T2T00_1_rc-chr20_haplotype2-0000062	25313269	34571834	9258565	
			T2T00_1_rc-chr21_haplotype1-0000020	3380096	10402469	7022373	
			T2T00_1_rc-chr21_haplotype2-0000070	373068	10773629	10400561	
			T2T00_1_rc-chr4_haplotype1-0000003	48864609	54657761	5793152	
			T2T00_1_rc-chr6_haplotype1-0000025	57497036	63825920	6328884	
			T2T00_1_rc-chr6_haplotype2-0000079	57400901	62995920	5595019	
			T2T00_1_rc-chr8_haplotype1-0000027	41911125	47858434	5947309	
			T2T00_1_rc-chrX_haplotype2-0000073	56820540	62937978	6117438	
			T2T00_1_rc-chrY_haplotype1-0000024	1	979984	979983	
			T2T00_1_rc-chrY_haplotype2-0000077	8863509	10815616	1952107	
			T2T00_2_chr10_haplotype1-0000034	38373513	43205975	4832462	
			T2T00_2_chr10_haplotype2-0000420	38070579	44394425	6323846	
			T2T00_2_chr11_haplotype1-0000012	47896876	56993572	9096696	
			T2T00_2_chr13_haplotype1-0000043	1	5553681	5553680	
			T2T00_2_chr13_haplotype2-0000561	1	497946	497945	
			T2T00_2_chr14_haplotype2-0000454	1286007	9152860	7866853	
			T2T00_2_chr14_haplotype2-0000724	1	533337	533336	
			T2T00_2_chr16_haplotype2-0000424	10362056	16371094	6009038	
			T2T00_2_chr1_haplotype2-0000463	121393998	129247638	7853640	
			T2T00_2_chr20_haplotype2-0000411	25264747	32252271	6987524	
			T2T00_2_chr21_haplotype1-0000005	1	2666678	2666677	
			T2T00_2_chr21_haplotype1-0000257	1	394340	394339	
			T2T00_2_chr21_unassigned-0002542	1	45882	45881	
			T2T00_2_chr22_haplotype2-0000455	2350032	10779789	8429757	
			T2T00_2_chr4_haplotype1-0000018	49395005	55155007	5760002	
			T2T00_2_chr4_haplotype2-0000429	48135276	53934281	5799005	
			T2T00_2_chr5_unassigned-0001772	1	67597	67596	
			T2T00_2_chr9_haplotype2-0000442	41872864	43425435	1552571	
			T2T00_2_chrX_haplotype1-0000007	56938293	62092980	5154687	
			T2T00_2_chrX_haplotype2-0000453	57052261	62054904	5002643	
			T2T00_2_chrX_unassigned-0001838	1	57438	57437	
			T2T00_2_rc-chr11_haplotype2-0000434	47969989	56265891	8295902	
			T2T00_2_rc-chr12_haplotype1-0000001	33643237	38714210	5070973	
			T2T00_2_rc-chr12_haplotype2-0000412	33346505	38194501	4847996	
			T2T00_2_rc-chr13_haplotype2-0000465	1	6269380	6269379	
			T2T00_2_rc-chr14_haplotype1-0000027	2227544	11402536	9174992	
			T2T00_2_rc-chr15_haplotype2-0000417	4250852	11065376	6814524	
			T2T00_2_rc-chr16_haplotype1-0000038	2970255	9742435	6772180	
			T2T00_2_rc-chr16_haplotype2-0000586	1	516873	516872	
			T2T00_2_rc-chr17_haplotype1-0000013	22402472	26399314	3996842	
			T2T00_2_rc-chr17_haplotype2-0000459	22031961	28180537	6148576	
			T2T00_2_rc-chr18_haplotype1-0000032	14410938	21601714	7190776	
			T2T00_2_rc-chr18_haplotype2-0000439	14392584	20477574	6084990	
			T2T00_2_rc-chr19_haplotype1-0000015	23382403	32136599	8754196	
			T2T00_2_rc-chr19_haplotype2-0000426	23194442	31323280	8128838	
			T2T00_2_rc-chr1_haplotype1-0000029	1	6207539	6207538	
			T2T00_2_rc-chr20_haplotype1-0000035	25340648	32797395	7456747	
			T2T00_2_rc-chr21_haplotype1-0000162	1	321189	321188	
			T2T00_2_rc-chr21_haplotype1-0000268	1	402275	402274	
			T2T00_2_rc-chr21_haplotype1-0000307	1	495508	495507	
			T2T00_2_rc-chr21_haplotype2-0000414	1	3078853	3078852	
			T2T00_2_rc-chr21_haplotype2-0000640	1	477216	477215	
			T2T00_2_rc-chr21_haplotype2-0000641	1	1079593	1079592	
			T2T00_2_rc-chr21_haplotype2-0000708	1	394570	394569	
			T2T00_2_rc-chr21_unassigned-0001635	1	45738	45737	
			T2T00_2_rc-chr21_unassigned-0002671	1	137096	137095	
			T2T00_2_rc-chr22_haplotype1-0000036	2367665	11509924	9142259	
			T2T00_2_rc-chr22_haplotype2-0000794	1	481829	481828	
			T2T00_2_rc-chr2_haplotype1-0000028	1	3837275	3837274	
			T2T00_2_rc-chr2_haplotype1-0000028	38240394	40278963	2038569	
			T2T00_2_rc-chr2_haplotype2-0000444	1065892	6016143	4950251	
			T2T00_2_rc-chr2_haplotype2-0000444	40614802	42653366	2038564	
			T2T00_2_rc-chr3_haplotype1-0000041	89383253	97361831	7978578	
			T2T00_2_rc-chr3_haplotype2-0000464	88499071	96111858	7612787	
			T2T00_2_rc-chr5_haplotype1-0000010	44649394	51412180	6762786	
			T2T00_2_rc-chr5_haplotype2-0000419	44392576	50635828	6243252	
			T2T00_2_rc-chr7_haplotype1-0000033	57121187	64415129	7293942	
			T2T00_2_rc-chr7_haplotype2-0000452	57357126	65604244	8247118	
			T2T00_2_rc-chr8_haplotype1-0000003	30090079	34942837	4852758	
			T2T00_2_rc-chr8_haplotype2-0000413	37078816	42102001	5023185	
			T2T00_2_rc-chr9_haplotype1-0000025	39103726	43077078	3973352	
			T2T00_2_rc-chr9_haplotype1-0000026	1	3518563	3518562	
			T2T00_2_rc-chr9_haplotype1-0000026	20317526	24981719	4664193	
			T2T00_2_rc-chr9_haplotype2-0000443	1	6092675	6092674	
			T2T00_2_rc-chr9_haplotype2-0000443	19131103	21474139	2343036	
			T2T04_chr10_haplotype1-0000007	37998245	42961310	4963065	
			T2T04_chr11_haplotype2-0000083	47845391	56167404	8322013	
			T2T04_chr16_haplotype1-0000018	32023696	33447424	1423728	
			T2T04_chr17_haplotype2-0000070	22408596	27872893	5464297	
			T2T04_chr1_haplotype1-0000011	120839304	129152823	8313519	
			T2T04_chr1_haplotype2-0000088	121211675	129925171	8713496	
			T2T04_chr22_haplotype1-0000012	5089687	13704704	8615017	
			T2T04_chr5_haplotype1-0000008	45460975	54680426	9219451	
			T2T04_chr5_haplotype2-0000076	45236250	51949658	6713408	
			T2T04_chr6_haplotype1-0000009	56974839	63537866	6563027	
			T2T04_chr6_haplotype2-0000078	57458138	64334637	6876499	
			T2T04_chr7_haplotype1-0000002	57332916	65232465	7899549	
			T2T04_chr9_haplotype1-0000003	39148232	49391722	10243490	
			T2T04_chr9_haplotype1-0000003	59379248	64052588	4673340	
			T2T04_chr9_haplotype2-0000077	39153984	48562762	9408778	
			T2T04_chr9_haplotype2-0000077	60486877	65150343	4663466	
			T2T04_rc-chr10_haplotype2-0000075	38103809	42788838	4685029	
			T2T04_rc-chr11_haplotype1-0000017	47604722	55448431	7843709	
			T2T04_rc-chr12_haplotype1-0000019	33401028	40098463	6697435	
			T2T04_rc-chr12_haplotype2-0000090	33329196	39766565	6437369	
			T2T04_rc-chr13_haplotype1-0000016	148883	9284054	9135171	
			T2T04_rc-chr13_haplotype2-0000086	1	9063238	9063237	
			T2T04_rc-chr14_haplotype1-0000005	41030	13247148	13206118	
			T2T04_rc-chr14_haplotype2-0000073	121021	10193115	10072094	
			T2T04_rc-chr15_haplotype1-0000023	8106594	14010542	5903948	
			T2T04_rc-chr15_haplotype2-0000072	9658653	16305198	6646545	
			T2T04_rc-chr16_haplotype1-0000024	409644	7957001	7547357	
			T2T04_rc-chr16_haplotype2-0000093	392095	7268458	6876363	
			T2T04_rc-chr16_haplotype2-0000098	1	469086	469085	
			T2T04_rc-chr17_haplotype1-0000004	22233970	28988370	6754400	
			T2T04_rc-chr18_haplotype1-0000006	14371521	21796838	7425317	
			T2T04_rc-chr18_haplotype2-0000074	14373106	21595261	7222155	
			T2T04_rc-chr19_haplotype1-0000021	23426845	30834169	7407324	
			T2T04_rc-chr19_haplotype2-0000091	23196886	31785861	8588975	
			T2T04_rc-chr20_haplotype1-0000015	25466415	32929317	7462902	
			T2T04_rc-chr20_haplotype2-0000085	25319193	32706055	7386862	
			T2T04_rc-chr21_haplotype1-0000014	172055	11591289	11419234	
			T2T04_rc-chr21_haplotype2-0000068	1	8325230	8325229	
			T2T04_rc-chr22_haplotype2-0000084	3451508	15056008	11604500	
			T2T04_rc-chr2_haplotype1-0000001	91338534	95619285	4280751	
			T2T04_rc-chr2_haplotype1-0000001	131177002	133216412	2039410	
			T2T04_rc-chr2_haplotype2-0000069	91373182	95599739	4226557	
			T2T04_rc-chr2_haplotype2-0000069	131236383	133275818	2039435	
			T2T04_rc-chr3_haplotype1-0000020	89076410	97694978	8618568	
			T2T04_rc-chr3_haplotype2-0000079	89347438	96600019	7252581	
			T2T04_rc-chr4_haplotype1-0000022	48884217	56415570	7531353	
			T2T04_rc-chr4_haplotype2-0000092	48817722	53369585	4551863	
			T2T04_rc-chr7_haplotype2-0000080	57373029	65514899	8141870	
			T2T04_rc-chr8_haplotype1-0000010	41835223	47258702	5423479	
			T2T04_rc-chr8_haplotype2-0000082	41971952	47835791	5863839	
			T2T04_rc-chrX_haplotype2-0000071	56641500	62087890	5446390	
			T2T04_rc-chrY_haplotype1-0000013	8827297	11536242	2708945	
			T2T04_rc-chrY_haplotype1-0000013	17906157	19950576	2044419	
			T2T04_1_chr13_haplotype2-0000127	1	3501262	3501261	
			T2T04_1_chr16_haplotype2-0000111	32029925	41420561	9390636	
			T2T04_1_chr18_haplotype1-0000012	14625574	21641966	7016392	
			T2T04_1_chr18_haplotype2-0000115	14366670	21339955	6973285	
			T2T04_1_chr19_haplotype1-0000010	23363125	30372864	7009739	
			T2T04_1_chr19_haplotype2-0000121	23425778	30835154	7409376	
			T2T04_1_chr1_haplotype1-0000008	120907680	127978736	7071056	
			T2T04_1_chr22_haplotype2-0000124	1	11515323	11515322	
			T2T04_1_chr2_haplotype2-0000104	91285878	95856292	4570414	
			T2T04_1_chr2_haplotype2-0000104	131411102	133450534	2039432	
			T2T04_1_chr4_haplotype1-0000013	48887998	54576527	5688529	
			T2T04_1_chr4_haplotype2-0000118	48746471	53280150	4533679	
			T2T04_1_chr8_haplotype1-0000007	41686003	47054233	5368230	
			T2T04_1_chr9_haplotype1-0000014	39544639	48006585	8461946	
			T2T04_1_chr9_haplotype1-0000014	67403560	72089119	4685559	
			T2T04_1_rc-chr10_haplotype1-0000006	38399852	43554065	5154213	
			T2T04_1_rc-chr10_haplotype2-0000105	38099820	42859294	4759474	
			T2T04_1_rc-chr11_haplotype1-0000015	47560771	55403670	7842899	
			T2T04_1_rc-chr11_haplotype2-0000120	47626281	55949471	8323190	
			T2T04_1_rc-chr12_haplotype1-0000001	33336840	39971045	6634205	
			T2T04_1_rc-chr12_haplotype2-0000101	33392252	39829618	6437366	
			T2T04_1_rc-chr13_haplotype1-0000025	9054361	17475999	8421638	
			T2T04_1_rc-chr13_haplotype2-0000117	1	6626270	6626269	
			T2T04_1_rc-chr14_haplotype1-0000027	1	12686708	12686707	
			T2T04_1_rc-chr14_haplotype2-0000116	114122	11457078	11342956	
			T2T04_1_rc-chr15_haplotype2-0000128	7175571	13822058	6646487	
			T2T04_1_rc-chr16_haplotype1-0000016	31177084	39800251	8623167	
			T2T04_1_rc-chr17_haplotype1-0000002	21825534	26107301	4281767	
			T2T04_1_rc-chr17_haplotype2-0000102	21930047	27305111	5375064	
			T2T04_1_rc-chr1_haplotype2-0000119	121186038	129718713	8532675	
			T2T04_1_rc-chr20_haplotype1-0000005	25262951	33197512	7934561	
			T2T04_1_rc-chr20_haplotype2-0000108	25361376	33804575	8443199	
			T2T04_1_rc-chr21_haplotype1-0000011	1	6410695	6410694	
			T2T04_1_rc-chr21_haplotype2-0000131	172268	12094930	11922662	
			T2T04_1_rc-chr22_haplotype1-0000021	5090777	13950026	8859249	
			T2T04_1_rc-chr22_unassigned-0000480	1	137646	137645	
			T2T04_1_rc-chr2_haplotype1-0000022	91374304	95601048	4226744	
			T2T04_1_rc-chr2_haplotype1-0000022	131375147	133414580	2039433	
			T2T04_1_rc-chr3_haplotype1-0000026	89394977	99356250	9961273	
			T2T04_1_rc-chr3_haplotype2-0000130	89537710	96779496	7241786	
			T2T04_1_rc-chr5_haplotype1-0000003	45232192	52786547	7554355	
			T2T04_1_rc-chr5_haplotype2-0000103	45203451	52482977	7279526	
			T2T04_1_rc-chr6_haplotype1-0000024	57457015	64321102	6864087	
			T2T04_1_rc-chr6_haplotype2-0000129	57363914	65545849	8181935	
			T2T04_1_rc-chr7_haplotype1-0000004	57069303	65224822	8155519	
			T2T04_1_rc-chr7_haplotype2-0000123	57090925	65221657	8130732	
			T2T04_1_rc-chr8_haplotype2-0000106	42052077	47481130	5429053	
			T2T04_1_rc-chr9_haplotype2-0000126	39154269	48559975	9405706	
			T2T04_1_rc-chr9_haplotype2-0000126	60642010	65305472	4663462	
			T2T04_1_rc-chrX_haplotype2-0000114	56724137	63050842	6326705	
			T2T04_1_rc-chrY_haplotype1-0000009	8879643	11588822	2709179	
			T2T04_1_rc-chrY_haplotype1-0000009	17956796	20005177	2048381	
			T2T04_2_chr10_haplotype2-0000227	38140927	43437864	5296937	
			T2T04_2_chr11_haplotype1-0000014	47683774	56075744	8391970	
			T2T04_2_chr11_haplotype2-0000214	47850660	56423303	8572643	
			T2T04_2_chr14-chr1-chr22_haplotype1-0000033	2793148	6357492	3564344	
			T2T04_2_chr16_haplotype1-0000019	31397593	39862669	8465076	
			T2T04_2_chr18_haplotype2-0000229	14373497	19656219	5282722	
			T2T04_2_chr19_haplotype1-0000015	23160927	30729192	7568265	
			T2T04_2_chr19_haplotype2-0000215	23321587	31917017	8595430	
			T2T04_2_chr1_haplotype1-0000013	120808578	129118554	8309976	
			T2T04_2_chr1_haplotype2-0000200	120620924	129297075	8676151	
			T2T04_2_chr3_haplotype2-0000224	89574004	97403912	7829908	
			T2T04_2_chr5_haplotype2-0000216	45437335	53015510	7578175	
			T2T04_2_chr6_haplotype2-0000217	57363856	63926880	6563024	
			T2T04_2_chr7_haplotype1-0000002	57199136	65232763	8033627	
			T2T04_2_chr8_haplotype1-0000011	42162680	47958897	5796217	
			T2T04_2_chr9_haplotype2-0000221	39221079	49680515	10459436	
			T2T04_2_chr9_haplotype2-0000221	59667755	61345861	1678106	
			T2T04_2_chrX_haplotype1-0000020	56769166	62361568	5592402	
			T2T04_2_chrX_haplotype2-0000220	56665039	62279608	5614569	
			T2T04_2_rc-chr10_haplotype1-0000023	38132865	43251467	5118602	
			T2T04_2_rc-chr11_haplotype2-0000237	1	150823	150822	
			T2T04_2_rc-chr12_haplotype1-0000009	33456286	40148991	6692705	
			T2T04_2_rc-chr12_haplotype2-0000209	33425854	38824014	5398160	
			T2T04_2_rc-chr13_haplotype1-0000003	339645	9502478	9162833	
			T2T04_2_rc-chr13_haplotype2-0000204	1	8425325	8425324	
			T2T04_2_rc-chr14_haplotype1-0000025	1	8434083	8434082	
			T2T04_2_rc-chr14_haplotype1-0000104	1	261312	261311	
			T2T04_2_rc-chr14_haplotype2-0000226	41525	13182901	13141376	
			T2T04_2_rc-chr14_unassigned-0001120	1	53137	53136	
			T2T04_2_rc-chr15_haplotype1-0000026	7792285	13696588	5904303	
			T2T04_2_rc-chr15_haplotype2-0000202	1	6507420	6507419	
			T2T04_2_rc-chr16_haplotype2-0000225	8772788	10875561	2102773	
			T2T04_2_rc-chr16_haplotype2-0000262	1	166816	166815	
			T2T04_2_rc-chr16_unassigned-0001005	1	92626	92625	
			T2T04_2_rc-chr17_haplotype1-0000010	21726835	26751317	5024482	
			T2T04_2_rc-chr17_haplotype2-0000211	21704575	29060132	7355557	
			T2T04_2_rc-chr18_haplotype1-0000027	14381278	20840701	6459423	
			T2T04_2_rc-chr20_haplotype1-0000022	25373396	32757548	7384152	
			T2T04_2_rc-chr20_haplotype2-0000223	25361385	33359206	7997821	
			T2T04_2_rc-chr21_haplotype1-0000012	1	6199013	6199012	
			T2T04_2_rc-chr21_haplotype2-0000212	94673	8093547	7998874	
			T2T04_2_rc-chr21_unassigned-0001265	1	155658	155657	
			T2T04_2_rc-chr22_haplotype1-0000160	1	713971	713970	
			T2T04_2_rc-chr22_haplotype2-0000213	188322	11399273	11210951	
			T2T04_2_rc-chr22_unassigned-0001162	1	57869	57868	
			T2T04_2_rc-chr2_haplotype1-0000007	91100553	95524869	4424316	
			T2T04_2_rc-chr2_haplotype1-0000007	131179583	133220833	2041250	
			T2T04_2_rc-chr2_haplotype2-0000208	91482494	95764038	4281544	
			T2T04_2_rc-chr2_haplotype2-0000208	131320485	133361294	2040809	
			T2T04_2_rc-chr3_haplotype1-0000030	88643566	97878918	9235352	
			T2T04_2_rc-chr4_haplotype1-0000018	48841165	54557713	5716548	
			T2T04_2_rc-chr4_haplotype2-0000218	48938724	54972578	6033854	
			T2T04_2_rc-chr5_haplotype1-0000017	45546666	54766042	9219376	
			T2T04_2_rc-chr6_haplotype1-0000008	57366352	63608958	6242606	
			T2T04_2_rc-chr7_haplotype2-0000203	57224369	65327100	8102731	
			T2T04_2_rc-chr8_haplotype2-0000199	41863653	47752127	5888474	
			T2T04_2_rc-chr9_haplotype1-0000016	39184308	48809526	9625218	
			T2T04_2_rc-chr9_haplotype1-0000016	64435855	69123968	4688113	
			T2T01_chr10_haplotype2-0000071	38079793	43603437	5523644	
			T2T01_chr11_haplotype1-0000016	47767545	55916611	8149066	
			T2T01_chr11_haplotype2-0000061	47764348	57858746	10094398	
			T2T01_chr14_haplotype2-0000068	2598407	8976771	6378364	
			T2T01_chr15_haplotype1-0000020	3608410	9871990	6263580	
			T2T01_chr18_haplotype1-0000003	14415554	22107569	7692015	
			T2T01_chr18_haplotype2-0000050	14388935	22503803	8114868	
			T2T01_chr19_haplotype1-0000008	23337389	31416214	8078825	
			T2T01_chr1_haplotype2-0000056	121140950	127826008	6685058	
			T2T01_chr21_haplotype2-0000064	1	5275830	5275829	
			T2T01_chr22_haplotype2-0000058	1	9646538	9646537	
			T2T01_chr2_haplotype1-0000005	91198912	95835057	4636145	
			T2T01_chr2_haplotype1-0000005	131380924	133422147	2041223	
			T2T01_chr2_haplotype2-0000052	91116551	95425747	4309196	
			T2T01_chr2_haplotype2-0000052	130996241	133037408	2041167	
			T2T01_chr4_haplotype1-0000011	48857649	54569714	5712065	
			T2T01_chr4_haplotype2-0000049	49160286	54754200	5593914	
			T2T01_chr6_haplotype2-0000063	57278836	63458009	6179173	
			T2T01_chr7_haplotype1-0000006	57061870	65388877	8327007	
			T2T01_chr7_haplotype2-0000053	57119589	64700847	7581258	
			T2T01_chr8_haplotype1-0000010	42518492	48129668	5611176	
			T2T01_chr8_haplotype2-0000055	41942606	47575527	5632921	
			T2T01_chr9_haplotype1-0000007	39135464	48227023	9091559	
			T2T01_chr9_haplotype1-0000007	61496118	66168040	4671922	
			T2T01_chrX_haplotype1-0000024	56678470	62509677	5831207	
			T2T01_chrX_haplotype2-0000070	56743874	63392931	6649057	
			T2T01_rc-chr10_haplotype1-0000009	38116043	42945584	4829541	
			T2T01_rc-chr10_unassigned-0000321	1	149497	149496	
			T2T01_rc-chr12_haplotype1-0000019	33345565	39409623	6064058	
			T2T01_rc-chr12_haplotype2-0000066	33340471	39472989	6132518	
			T2T01_rc-chr13_haplotype1-0000013	1	9344625	9344624	
			T2T01_rc-chr13_haplotype2-0000059	342288	11020512	10678224	
			T2T01_rc-chr14_haplotype1-0000022	4788896	15993528	11204632	
			T2T01_rc-chr15_haplotype2-0000069	6905115	13520742	6615627	
			T2T01_rc-chr16_haplotype1-0000002	32336394	39922583	7586189	
			T2T01_rc-chr16_haplotype2-0000057	31845626	39675291	7829665	
			T2T01_rc-chr17_haplotype1-0000004	21824881	26211378	4386497	
			T2T01_rc-chr17_haplotype2-0000051	22220184	28552860	6332676	
			T2T01_rc-chr19_haplotype2-0000073	23462484	30869773	7407289	
			T2T01_rc-chr1_haplotype1-0000012	120593290	128494952	7901662	
			T2T01_rc-chr20_haplotype1-0000026	25267979	33178665	7910686	
			T2T01_rc-chr20_haplotype2-0000072	25331308	33241458	7910150	
			T2T01_rc-chr21_haplotype1-0000014	1	6228111	6228110	
			T2T01_rc-chr22_haplotype1-0000025	519404	14918144	14398740	
			T2T01_rc-chr3_haplotype1-0000017	89154176	99068546	9914370	
			T2T01_rc-chr3_haplotype2-0000062	89330734	97053784	7723050	
			T2T01_rc-chr5_haplotype1-0000001	45441837	51046867	5605030	
			T2T01_rc-chr5_haplotype2-0000048	45341169	52242752	6901583	
			T2T01_rc-chr6_haplotype1-0000018	57485006	63431200	5946194	
			T2T01_rc-chr9_haplotype2-0000054	39621770	49393704	9771934	
			T2T01_rc-chr9_haplotype2-0000054	68151439	72839727	4688288	
			T2T02_chr10_haplotype1-0000025	38053280	43501782	5448502	
			T2T02_chr15_haplotype2-0000102	7522173	13432821	5910648	
			T2T02_chr16_haplotype1-0000009	31372073	38686133	7314060	
			T2T02_chr17_haplotype1-0000032	21797150	28574524	6777374	
			T2T02_chr17_haplotype2-0000121	21847634	27437412	5589778	
			T2T02_chr18_haplotype2-0000105	14385528	20364615	5979087	
			T2T02_chr19_haplotype1-0000002	23314045	29060057	5746012	
			T2T02_chr19_haplotype2-0000096	23588589	29534450	5945861	
			T2T02_chr1_haplotype1-0000028	121067320	127995206	6927886	
			T2T02_chr1_haplotype2-0000103	121232318	132450569	11218251	
