sample	contig_name	contig_length_bp	haplotype	primary_chrom	aligned_bp	satellite_bp	satellite_fraction	classification
T2T00	unassigned-0000230	95178	unassigned	chr21	12890	12890	1	satellite
T2T00	unassigned-0000444	148962	unassigned	chr22	168852	168852	1	satellite
T2T00	unassigned-0000197	38679	unassigned	chr13	38733	38733	1	satellite
T2T00	unassigned-0000218	62481	unassigned	chr21	29795	29795	1	satellite
T2T00	unassigned-0000445	67873	unassigned	chr21	43913	43913	1	satellite
T2T00	unassigned-0000672	83896	unassigned	chr21	44251	44251	1	satellite
T2T00	unassigned-0000659	69195	unassigned	chr13	68357	68357	1	satellite
T2T00	unassigned-0000198	62013	unassigned	chr13	61990	61990	1	satellite
T2T00	unassigned-0000446	156433	unassigned	chr22	110868	110868	1	satellite
T2T00	unassigned-0000199	59888	unassigned	chr13	59869	59869	1	satellite
T2T00	unassigned-0000219	127100	unassigned	chr1	127102	0	0	non_satellite
T2T00	unassigned-0000674	184288	unassigned	chr22	183367	0	0	non_satellite
T2T00	unassigned-0000447	83614	unassigned	chr21	127330	127330	1	satellite
T2T00	unassigned-0000675	85193	unassigned	chr13	81360	81360	1	satellite
T2T00	unassigned-0000449	73173	unassigned	chr21	79921	79921	1	satellite
T2T00	unassigned-0000710	79698	unassigned	chr21	83626	83626	1	satellite
T2T00	unassigned-0000690	97739	unassigned	chr14	91621	0	0	non_satellite
T2T00	unassigned-0000691	137147	unassigned	chr3	137059	0	0	non_satellite
T2T00	unassigned-0000711	44647	unassigned	chr21	58787	58787	1	satellite
T2T00	unassigned-0000250	74372	unassigned	chr13	75457	75457	1	satellite
T2T00	unassigned-0000678	82567	unassigned	chr1	82493	0	0	non_satellite
T2T00	unassigned-0000238	41909	unassigned	chr8	42122	0	0	non_satellite
T2T00	unassigned-0000712	65628	unassigned	chr21	80341	80341	1	satellite
T2T00	haplotype1-0000009	3429182	haplotype1	chr21	28657569	2968580	0.103588	non_satellite
T2T00	unassigned-0000679	54227	unassigned	chr2	54245	0	0	non_satellite
T2T00	unassigned-0000251	52209	unassigned	chr13	51417	51417	1	satellite
T2T00	unassigned-0000693	220797	unassigned	chr14	220800	0	0	non_satellite
T2T00	unassigned-0000466	75920	unassigned	chr13	75388	75388	1	satellite
T2T00	unassigned-0000252	77862	unassigned	chr13	77026	77026	1	satellite
T2T00	unassigned-0000500	55939	unassigned	chr22	70826	70826	1	satellite
T2T00	unassigned-0000467	45959	unassigned	chr13	45838	45838	1	satellite
T2T00	unassigned-0000481	42637	unassigned	chr21	55681	55681	1	satellite
T2T00	unassigned-0000695	57441	unassigned	chr21	86616	86616	1	satellite
T2T00	unassigned-0000501	57718	unassigned	chr21	24780	24780	1	satellite
T2T00	unassigned-0000716	28197	unassigned	chr8	28168	0	0	non_satellite
T2T00	unassigned-0000502	65231	unassigned	chr22	77610	77610	1	satellite
T2T00	haplotype1-0000026	148950	haplotype1	chr19	148962	0	0	non_satellite
T2T00	unassigned-0000482	83353	unassigned	chr15	83888	83888	1	satellite
T2T00	unassigned-0000255	60180	unassigned	chr13	59400	59400	1	satellite
T2T00	unassigned-0000469	46109	unassigned	chr13	46121	46121	1	satellite
T2T00	haplotype1-0000040	46726	haplotype1	chr3	57523	57523	1	satellite
T2T00	unassigned-0000697	54288	unassigned	chr22	73058	73058	1	satellite
T2T00	unassigned-0000717	146531	unassigned	chr2	146548	0	0	non_satellite
T2T00	unassigned-0000503	196839	unassigned	chr21	297032	232501	0.782747	satellite
T2T00	haplotype1-0000027	160876	haplotype1	chr1	160820	0	0	non_satellite
T2T00	haplotype2-0000046	1013883	haplotype2	chr13	5272183	824733	0.156431	non_satellite
T2T00	haplotype1-0000028	62301	haplotype1	chr9	342480	68496	0.2	non_satellite
T2T00	unassigned-0000698	57180	unassigned	chr22	75312	75312	1	satellite
T2T00	unassigned-0000718	46356	unassigned	chr12	46334	0	0	non_satellite
T2T00	haplotype1-0000029	303026	haplotype1	chr4	287482	0	0	non_satellite
T2T00	unassigned-0000719	47857	unassigned	chr13	47757	47757	1	satellite
T2T00	unassigned-0000699	50547	unassigned	chr13	48929	48929	1	satellite
T2T00	unassigned-0000732	88740	unassigned	chr13	88643	88643	1	satellite
T2T00	haplotype1-0000043	250712	haplotype1	chr4	250712	0	0	non_satellite
T2T00	unassigned-0000259	87918	unassigned	chr13	81959	81959	1	satellite
T2T00	unassigned-0000734	97149	unassigned	chr13	91913	91913	1	satellite
T2T00	haplotype1-0000044	48150	haplotype1	chr11	48137	48137	1	satellite
T2T00	unassigned-0000735	116908	unassigned	chr13	117320	117320	1	satellite
T2T00	unassigned-0000736	110417	unassigned	chr21	104243	104243	1	satellite
T2T00	unassigned-0000509	43151	unassigned	chr13	42382	42382	1	satellite
T2T00	unassigned-0000737	98280	unassigned	chr17	98288	0	0	non_satellite
T2T00	unassigned-0000738	88401	unassigned	chr21	81480	81480	1	satellite
T2T00	unassigned-0000311	165139	unassigned	chr22	233511	233511	1	satellite
T2T00	haplotype2-0000081	157188	haplotype2	chr21	65074	65074	1	satellite
T2T00	unassigned-0000739	45739	unassigned	chr21	33758	33758	1	satellite
T2T00	haplotype2-0000102	143874	haplotype2	chr7	143532	143532	1	satellite
T2T00	unassigned-0000312	208626	unassigned	chr21	48994	48994	1	satellite
T2T00	unassigned-0000526	47186	unassigned	chr13	46976	46976	1	satellite
T2T00	haplotype2-0000083	91689	haplotype2	chr21	43732	43732	1	satellite
T2T00	unassigned-0000313	247873	unassigned	chr21	64273	64273	1	satellite
T2T00	unassigned-0000527	115489	unassigned	chr19	115397	0	0	non_satellite
T2T00	haplotype2-0000085	156342	haplotype2	chr13	10018	10018	1	satellite
T2T00	unassigned-0000295	43037	unassigned	chr13	41432	41432	1	satellite
T2T00	unassigned-0000316	72661	unassigned	chr21	44324	44324	1	satellite
T2T00	haplotype2-0000086	211653	haplotype2	chr21	110704	63828	0.576565	satellite
T2T00	unassigned-0000296	58104	unassigned	chr13	55553	55553	1	satellite
T2T00	unassigned-0000543	70872	unassigned	chr13	70597	70597	1	satellite
T2T00	unassigned-0000317	95322	unassigned	chr21	124877	124877	1	satellite
T2T00	unassigned-0000318	144485	unassigned	chr22	197827	197827	1	satellite
T2T00	unassigned-0000319	91678	unassigned	chr21	130638	130638	1	satellite
T2T00	haplotype2-0000109	145397	haplotype2	chr13	12869	12869	1	satellite
T2T00	unassigned-0000120	52628	unassigned	chr21	102534	51267	0.5	satellite
T2T00	unassigned-0000549	43924	unassigned	chr22	43241	43241	1	satellite
T2T00	unassigned-0000563	97900	unassigned	chr13	97771	97771	1	satellite
T2T00	unassigned-0000123	84063	unassigned	chr4	84047	0	0	non_satellite
T2T00	unassigned-0000564	75749	unassigned	chr14	66333	66333	1	satellite
T2T00	unassigned-0000566	150202	unassigned	chr21	18179	18179	1	satellite
T2T00	unassigned-0000601	86931	unassigned	chr22	109124	109124	1	satellite
T2T00	unassigned-0000140	77695	unassigned	chr21	133755	133755	1	satellite
T2T00	unassigned-0000127	75132	unassigned	chr19	75104	0	0	non_satellite
T2T00	unassigned-0000569	44326	unassigned	chr22	43547	43547	1	satellite
T2T00	unassigned-0000602	42306	unassigned	chr21	23596	23596	1	satellite
T2T00	unassigned-0000128	199551	unassigned	chr17	198688	0	0	non_satellite
T2T00	unassigned-0000142	58177	unassigned	chr22	42064	42064	1	satellite
T2T00	unassigned-0000356	45374	unassigned	chr21	90352	45176	0.5	satellite
T2T00	unassigned-0000129	146989	unassigned	chr15	146976	0	0	non_satellite
T2T00	unassigned-0000143	163410	unassigned	chr17	163427	0	0	non_satellite
T2T00	unassigned-0000370	90502	unassigned	chr13	90467	90467	1	satellite
T2T00	unassigned-0000358	190426	unassigned	chr22	646009	215309	0.333291	non_satellite
T2T00	unassigned-0000145	84836	unassigned	chr12	84054	0	0	non_satellite
T2T00	unassigned-0000620	117018	unassigned	chr21	170713	170713	1	satellite
T2T00	unassigned-0000607	53338	unassigned	chr13	52547	52547	1	satellite
T2T00	unassigned-0000588	59023	unassigned	chr21	18005	18005	1	satellite
T2T00	unassigned-0000608	55184	unassigned	chr13	55173	55173	1	satellite
T2T00	unassigned-0000375	50901	unassigned	chr22	43235	43235	1	satellite
T2T00	unassigned-0000162	357907	unassigned	chr21	13250	13250	1	satellite
T2T00	unassigned-0000163	141688	unassigned	chr21	19274	19274	1	satellite
T2T00	unassigned-0000390	149979	unassigned	chr14	149992	0	0	non_satellite
T2T00	unassigned-0000377	42275	unassigned	chr13	41430	41430	1	satellite
T2T00	unassigned-0000378	42132	unassigned	chr13	41204	41204	1	satellite
T2T00	unassigned-0000392	120376	unassigned	chr14	96035	96035	1	satellite
T2T00	unassigned-0000379	30468	unassigned	chr10	30535	0	0	non_satellite
T2T00	unassigned-0000640	45313	unassigned	chr13	44452	44452	1	satellite
T2T00	unassigned-0000413	43937	unassigned	chr1	44242	0	0	non_satellite
T2T00	unassigned-0000180	58127	unassigned	chr6	58133	0	0	non_satellite
T2T00	unassigned-0000394	72295	unassigned	chr14	72233	0	0	non_satellite
T2T00	unassigned-0000200	81342	unassigned	chr13	76891	76891	1	satellite
T2T00	unassigned-0000168	125981	unassigned	chr21	23159	23159	1	satellite
T2T00	unassigned-0000642	56082	unassigned	chr22	69439	69439	1	satellite
T2T00	unassigned-0000395	130320	unassigned	chr14	130299	0	0	non_satellite
T2T00	unassigned-0000201	56210	unassigned	chr13	56085	56085	1	satellite
T2T00	unassigned-0000182	44850	unassigned	chr7	44835	44835	1	satellite
T2T00	unassigned-0000643	91058	unassigned	chr21	22710	22710	1	satellite
T2T00	unassigned-0000202	34337	unassigned	chr13	34302	34302	1	satellite
T2T00	unassigned-0000396	51519	unassigned	chr13	46268	46268	1	satellite
T2T00	unassigned-0000397	59276	unassigned	chr13	54013	54013	1	satellite
T2T00	unassigned-0000183	180862	unassigned	chr1	181572	0	0	non_satellite
T2T00	unassigned-0000645	113411	unassigned	chr14	148605	111315	0.749066	satellite
T2T00	unassigned-0000204	47554	unassigned	chr13	47523	47523	1	satellite
T2T00	unassigned-0000205	55636	unassigned	chr13	55563	55563	1	satellite
T2T00	unassigned-0000206	47598	unassigned	chr10	47658	0	0	non_satellite
T2T00	unassigned-0000220	75476	unassigned	chr22	222294	75348	0.338957	non_satellite
T2T00	unassigned-0000434	97288	unassigned	chr21	130529	130529	1	satellite
T2T00	unassigned-0000187	75196	unassigned	chr21	60762	60762	1	satellite
T2T00	unassigned-0000648	32905	unassigned	chr13	30041	30041	1	satellite
T2T00	unassigned-0000221	244038	unassigned	chr22	2159247	243520	0.11278	non_satellite
T2T00	unassigned-0000649	86697	unassigned	chr22	84884	84884	1	satellite
T2T00	unassigned-0000188	66280	unassigned	chr22	461146	65878	0.142857	non_satellite
T2T00	unassigned-0000435	126703	unassigned	chr22	131574	131574	1	satellite
T2T00	unassigned-0000208	43093	unassigned	chr21	86026	43013	0.5	satellite
T2T00	unassigned-0000663	140917	unassigned	chr6	140626	0	0	non_satellite
T2T00	unassigned-0000209	56302	unassigned	chr13	55506	55506	1	satellite
T2T00	unassigned-0000438	80918	unassigned	chr21	71205	71205	1	satellite
T2T00	unassigned-0000224	102856	unassigned	chr11	102858	0	0	non_satellite
T2T00	unassigned-0000451	47897	unassigned	chr1	47880	0	0	non_satellite
T2T00	unassigned-0000452	53081	unassigned	chr21	43913	43913	1	satellite
T2T00	unassigned-0000439	115497	unassigned	chr22	154911	154911	1	satellite
T2T00	unassigned-0000453	61492	unassigned	chr22	75507	75507	1	satellite
T2T00	unassigned-0000680	105554	unassigned	chr21	163239	163239	1	satellite
T2T00	unassigned-0000700	63060	unassigned	chr13	59810	59810	1	satellite
T2T00	unassigned-0000454	54203	unassigned	chr15	54836	54836	1	satellite
T2T00	unassigned-0000701	55669	unassigned	chr13	54084	54084	1	satellite
T2T00	unassigned-0000681	67307	unassigned	chr10	67247	0	0	non_satellite
T2T00	unassigned-0000227	221061	unassigned	chr1	221063	0	0	non_satellite
T2T00	unassigned-0000228	86036	unassigned	chr21	18473	18473	1	satellite
T2T00	unassigned-0000241	71116	unassigned	chr17	71135	71135	1	satellite
T2T00	unassigned-0000702	59572	unassigned	chr13	59489	59489	1	satellite
T2T00	unassigned-0000682	75796	unassigned	chr10	145491	0	0	non_satellite
T2T00	haplotype1-0000012	4479258	haplotype1	chr13	11014187	3224378	0.292748	non_satellite
T2T00	unassigned-0000703	60996	unassigned	chr4	65749	0	0	non_satellite
T2T00	unassigned-0000242	52614	unassigned	chr17	52623	52623	1	satellite
T2T00	unassigned-0000683	42836	unassigned	chr1	42834	42834	1	satellite
T2T00	unassigned-0000457	62895	unassigned	chr13	62707	62707	1	satellite
T2T00	unassigned-0000470	55084	unassigned	chr13	54164	54164	1	satellite
T2T00	unassigned-0000704	62870	unassigned	chr13	62837	62837	1	satellite
T2T00	unassigned-0000459	51649	unassigned	chr13	51632	51632	1	satellite
T2T00	haplotype1-0000030	203963	haplotype1	chr9	209284	209284	1	satellite
T2T00	unassigned-0000687	205017	unassigned	chr21	52604	52604	1	satellite
T2T00	unassigned-0000720	43173	unassigned	chr13	40784	40784	1	satellite
T2T00	haplotype1-0000031	199328	haplotype1	chr9	196158	196158	1	satellite
T2T00	unassigned-0000721	45770	unassigned	chr4	45768	0	0	non_satellite
T2T00	unassigned-0000708	70269	unassigned	chr22	77215	77215	1	satellite
T2T00	unassigned-0000247	210418	unassigned	chr21	421972	210986	0.5	satellite
T2T00	unassigned-0000260	74712	unassigned	chr13	72286	72286	1	satellite
T2T00	unassigned-0000688	64063	unassigned	chr1	64074	0	0	non_satellite
T2T00	haplotype1-0000032	106840	haplotype1	chr9	110296	110296	1	satellite
T2T00	unassigned-0000689	129973	unassigned	chr17	104991	0	0	non_satellite
T2T00	unassigned-0000475	45900	unassigned	chr13	45078	45078	1	satellite
T2T00	haplotype1-0000033	103234	haplotype1	chr9	108627	108627	1	satellite
T2T00	unassigned-0000262	95330	unassigned	chr13	86426	86426	1	satellite
T2T00	unassigned-0000724	69688	unassigned	chr13	70714	70714	1	satellite
T2T00	unassigned-0000263	56729	unassigned	chr13	52233	52233	1	satellite
T2T00	unassigned-0000510	108559	unassigned	chr13	107148	107148	1	satellite
T2T00	unassigned-0000725	61748	unassigned	chr8	61794	0	0	non_satellite
T2T00	haplotype2-0000054	2810077	haplotype2	chr22	10145079	1753546	0.172847	non_satellite
T2T00	unassigned-0000264	51824	unassigned	chr13	41905	41905	1	satellite
T2T00	unassigned-0000726	186227	unassigned	chr8	186251	0	0	non_satellite
T2T00	unassigned-0000479	120626	unassigned	chr8	120622	0	0	non_satellite
T2T00	unassigned-0000265	119362	unassigned	chr13	118616	118616	1	satellite
T2T00	haplotype2-0000055	1972758	haplotype2	chr1	521050	521050	1	satellite
T2T00	unassigned-0000513	45084	unassigned	chr13	44253	44253	1	satellite
T2T00	haplotype1-0000037	187152	haplotype1	chr1	17625	17625	1	satellite
T2T00	unassigned-0000727	81517	unassigned	chr1	81529	0	0	non_satellite
T2T00	unassigned-0000267	12414	unassigned	chr13	12382	12382	1	satellite
T2T00	unassigned-0000741	100393	unassigned	chr13	95161	95161	1	satellite
T2T00	unassigned-0000728	104038	unassigned	chr1	104053	0	0	non_satellite
T2T00	haplotype1-0000039	357532	haplotype1	chr3	300434	253183	0.842724	satellite
T2T00	unassigned-0000281	92852	unassigned	chr21	93831	93831	1	satellite
T2T00	unassigned-0000742	73782	unassigned	chr18	73745	0	0	non_satellite
T2T00	unassigned-0000729	39619	unassigned	chr13	39524	39524	1	satellite
T2T00	unassigned-0000515	120704	unassigned	chr13	116016	116016	1	satellite
T2T00	haplotype2-0000072	226863	haplotype2	chr17	191735	0	0	non_satellite
T2T00	unassigned-0000516	96907	unassigned	chr13	89151	89151	1	satellite
T2T00	haplotype2-0000073	166323	haplotype2	chr9	166315	0	0	non_satellite
T2T00	unassigned-0000517	50716	unassigned	chr13	50698	50698	1	satellite
T2T00	unassigned-0000744	104586	unassigned	chr13	105723	105723	1	satellite
T2T00	unassigned-0000745	55744	unassigned	chr13	55518	55518	1	satellite
T2T00	unassigned-0000284	41467	unassigned	chr13	40686	40686	1	satellite
T2T00	unassigned-0000746	722162	unassigned	chr18	760536	760536	1	satellite
T2T00	unassigned-0000499	59844	unassigned	chr13	57630	57630	1	satellite
T2T00	unassigned-0000519	59382	unassigned	chr13	57760	57760	1	satellite
T2T00	unassigned-0000285	42961	unassigned	chr13	42942	42942	1	satellite
T2T00	haplotype2-0000075	70921	haplotype2	chr13	79426	79426	1	satellite
T2T00	haplotype2-0000076	150645	haplotype2	chr14	47102	47102	1	satellite
T2T00	unassigned-0000533	99328	unassigned	chr13	97411	97411	1	satellite
T2T00	haplotype2-0000090	57778	haplotype2	chr21	15342	15342	1	satellite
T2T00	unassigned-0000307	299181	unassigned	chr21	48991	48991	1	satellite
T2T00	haplotype2-0000077	151420	haplotype2	chr14	131886	131886	1	satellite
T2T00	unassigned-0000321	51258	unassigned	chr21	80734	80734	1	satellite
T2T00	haplotype2-0000091	111198	haplotype2	chr21	66694	66694	1	satellite
T2T00	unassigned-0000535	62649	unassigned	chr21	39788	39788	1	satellite
T2T00	haplotype2-0000078	149835	haplotype2	chr14	47102	47102	1	satellite
T2T00	unassigned-0000288	55695	unassigned	chr13	57233	57233	1	satellite
T2T00	haplotype2-0000112	261037	haplotype2	chr4	325829	325829	1	satellite
T2T00	unassigned-0000322	204086	unassigned	chr22	192919	192919	1	satellite
T2T00	unassigned-0000536	49280	unassigned	chr22	62644	62644	1	satellite
T2T00	haplotype2-0000079	898242	haplotype2	chr15	6776655	1055661	0.155779	non_satellite
T2T00	unassigned-0000537	113812	unassigned	chr21	88574	88574	1	satellite
T2T00	haplotype2-0000093	82743	haplotype2	chr13	46889	46889	1	satellite
T2T00	haplotype2-0000113	45069	haplotype2	chr1	44945	44945	1	satellite
T2T00	haplotype2-0000114	193493	haplotype2	chr17	191341	0	0	non_satellite
T2T00	haplotype2-0000094	38442	haplotype2	chr14	38443	38443	1	satellite
T2T00	unassigned-0000324	94928	unassigned	chr13	90527	90527	1	satellite
T2T00	haplotype2-0000115	400492	haplotype2	chr17	365372	0	0	non_satellite
T2T00	haplotype2-0000095	198885	haplotype2	chr14	79366	79366	1	satellite
T2T00	unassigned-0000325	58375	unassigned	chr13	57472	57472	1	satellite
T2T00_1	unassigned-0000326	76493	unassigned	chr6	76460	0	0	non_satellite
T2T00_1	unassigned-0000780	78842	unassigned	chr21	67465	67465	1	satellite
T2T00_1	unassigned-0000781	80647	unassigned	chrY	80690	80690	1	satellite
T2T00_1	haplotype2-0000130	317291	haplotype2	chrY	317316	0	0	non_satellite
T2T00_1	unassigned-0000995	66471	unassigned	chr6	66436	66436	1	satellite
T2T00_1	haplotype2-0000131	359893	haplotype2	chrY	359927	0	0	non_satellite
T2T00_1	unassigned-0000782	105436	unassigned	chr21	108803	108803	1	satellite
T2T00_1	unassigned-0000802	91469	unassigned	chr13	85480	85480	1	satellite
T2T00_1	haplotype2-0000118	227671	haplotype2	chr1	62201	62201	1	satellite
T2T00_1	unassigned-0000996	165381	unassigned	chr1	165400	0	0	non_satellite
T2T00_1	haplotype2-0000132	100211	haplotype2	chr16	115649	115649	1	satellite
T2T00_1	unassigned-0000803	51242	unassigned	chr13	49669	49669	1	satellite
T2T00_1	haplotype2-0000119	188652	haplotype2	chr1	60899	60899	1	satellite
T2T00_1	haplotype2-0000133	214861	haplotype2	chr15	213940	213940	1	satellite
T2T00_1	unassigned-0000571	61141	unassigned	chr5	60654	60654	1	satellite
T2T00_1	haplotype2-0000134	531293	haplotype2	chr15	520776	520776	1	satellite
T2T00_1	haplotype2-0000135	357306	haplotype2	chrY	426910	426910	1	satellite
T2T00_1	haplotype2-0000136	143595	haplotype2	chr21	206016	128434	0.623418	satellite
T2T00_1	unassigned-0000787	58457	unassigned	chr12	58441	0	0	non_satellite
T2T00_1	haplotype2-0000150	218351	haplotype2	chr5	299235	0	0	non_satellite
T2T00_1	haplotype2-0000137	172925	haplotype2	chr21	1096711	156673	0.142857	non_satellite
T2T00_1	unassigned-0000347	100605	unassigned	chr2	91942	91942	1	satellite
T2T00_1	haplotype2-0000151	113289	haplotype2	chr5	92308	0	0	non_satellite
T2T00_1	unassigned-0000348	87999	unassigned	chr2	79271	79271	1	satellite
T2T00_1	unassigned-0000349	65960	unassigned	chr2	65931	65931	1	satellite
T2T00_1	haplotype2-0000152	272784	haplotype2	chr16	230244	230244	1	satellite
T2T00_1	unassigned-0000576	104016	unassigned	chr10	103946	0	0	non_satellite
T2T00_1	unassigned-0000363	60211	unassigned	chr6	60214	0	0	non_satellite
T2T00_1	unassigned-0000824	93332	unassigned	chr4	92171	0	0	non_satellite
T2T00_1	unassigned-0000610	110937	unassigned	chr22	152632	152632	1	satellite
T2T00_1	unassigned-0000611	121509	unassigned	chr22	110301	110301	1	satellite
T2T00_1	unassigned-0000591	61296	unassigned	chr13	58775	58775	1	satellite
T2T00_1	unassigned-0000578	72724	unassigned	chr10	72726	72726	1	satellite
T2T00_1	haplotype2-0000154	46103	haplotype2	chr10	43868	0	0	non_satellite
T2T00_1	unassigned-0000612	84992	unassigned	chr21	68069	68069	1	satellite
T2T00_1	unassigned-0000579	69276	unassigned	chr15	176094	82812	0.470272	non_satellite
T2T00_1	unassigned-0000592	58309	unassigned	chr13	57513	57513	1	satellite
T2T00_1	haplotype2-0000155	87141	haplotype2	chr10	84059	0	0	non_satellite
T2T00_1	unassigned-0000613	117714	unassigned	chr22	124371	124371	1	satellite
T2T00_1	unassigned-0000593	86574	unassigned	chr21	85784	85784	1	satellite
T2T00_1	haplotype2-0000156	341822	haplotype2	chr16	282235	282235	1	satellite
T2T00_1	unassigned-0000594	113165	unassigned	chr21	112440	112440	1	satellite
T2T00_1	unassigned-0000614	71886	unassigned	chr22	81390	81390	1	satellite
T2T00_1	unassigned-0000380	76582	unassigned	chr1	76232	0	0	non_satellite
T2T00_1	haplotype2-0000171	220037	haplotype2	chrY	834096	72845	0.0873341	non_satellite
T2T00_1	unassigned-0000368	110097	unassigned	chr5	110111	110111	1	satellite
T2T00_1	unassigned-0000615	163415	unassigned	chr22	205537	205537	1	satellite
T2T00_1	unassigned-0000401	48917	unassigned	chr16	48713	0	0	non_satellite
T2T00_1	haplotype2-0000172	221157	haplotype2	chrY	780283	76752	0.0983643	non_satellite
