sample	source	chr	start	end	feature_type
T2T00	Flagger	chr1	155765949	156021981	Hap
T2T00	Flagger	chr1	156021981	156045981	Dup
T2T00	Flagger	chr1	156045981	157054826	Hap
T2T00	Flagger	chr1	157594594	157630568	Col
T2T00	Flagger	chr1	157630568	160193281	Hap
T2T00	Flagger	chr1	161228616	161288612	Col
T2T00	Flagger	chr1	161288612	163552602	Hap
T2T00	Flagger	chr1	164244974	164301023	Col
T2T00	Flagger	chr1	167470770	170737420	Hap
T2T00	Flagger	chr1	170737420	170769442	Dup
T2T00	Flagger	chr1	170769442	171245573	Hap
T2T00	Flagger	chr1	171245573	171285589	Col
T2T00	Flagger	chr1	171285589	174413441	Hap
T2T00	Flagger	chr1	176421774	176473783	Col
T2T00	Flagger	chr1	176473783	176693836	Hap
T2T00	Flagger	chr1	176693836	176713821	Dup
T2T00	Flagger	chr1	176753980	177785461	Hap
T2T00	Flagger	chr1	177785461	177837446	Col
T2T00	Flagger	chr1	178050753	179391578	Hap
T2T00	Flagger	chr1	179391578	179451629	Col
T2T00	Flagger	chr1	182749191	185381328	Hap
T2T00	Flagger	chr1	185381328	185413329	Col
T2T00	Flagger	chr1	185413329	185533314	Hap
T2T00	Flagger	chr1	185533314	185561328	Col
T2T00	Flagger	chr1	185681843	186225180	Hap
T2T00	Flagger	chr1	186225180	186301145	Col
T2T00	Flagger	chr1	186301145	188193863	Hap
T2T00	Flagger	chr1	188670232	188714246	Col
T2T00	Flagger	chr1	188714246	188898224	Hap
T2T00	Flagger	chr1	188908813	188950348	Col
T2T00	Flagger	chr1	188950348	189373267	Hap
T2T00	Flagger	chr1	189398405	189426436	Col
T2T00	Flagger	chr1	189426436	190621541	Hap
T2T00	Flagger	chr1	190621541	190685548	Col
T2T00	Flagger	chr1	190685548	190769542	Hap
T2T00	Flagger	chr1	190769542	190837601	Col
T2T00	Flagger	chr1	190837601	191113286	Hap
T2T00	Flagger	chr1	191113286	191273435	Col
T2T00	Flagger	chr1	191273435	191697424	Hap
T2T00	Flagger	chr1	191697424	191753491	Col
T2T00	Flagger	chr1	191753491	191925559	Hap
T2T00	Flagger	chr1	191925559	191993554	Col
T2T00	Flagger	chr1	191993554	192669652	Hap
T2T00	Flagger	chr1	192669652	192733658	Col
T2T00	Flagger	chr1	192733658	192912813	Hap
T2T00	Flagger	chr1	193455200	193511194	Col
T2T00	Flagger	chr1	193831140	194223366	Hap
T2T00	Flagger	chr1	194223366	194331367	Col
T2T00	Flagger	chr1	194331367	194851453	Hap
T2T00	Flagger	chr1	194851453	194967599	Col
T2T00	Flagger	chr1	194967599	195083534	Hap
T2T00	Flagger	chr1	195083534	195115501	Col
T2T00	Flagger	chr1	195115501	195139509	Hap
T2T00	Flagger	chr1	195139509	195235528	Col
T2T00	Flagger	chr1	195235528	197047049	Hap
T2T00	Flagger	chr1	197874767	197958759	Col
T2T00	Flagger	chr1	197958759	198601414	Hap
T2T00	Flagger	chr1	198601414	198641400	Col
T2T00	Flagger	chr1	198641400	201430066	Hap
T2T00	Flagger	chr1	202294660	202334678	Dup
T2T00	Flagger	chr1	202334678	204473862	Hap
T2T00	Flagger	chr1	206627267	206679303	Col
T2T00	Flagger	chr1	206679303	207751343	Hap
T2T00	Flagger	chr1	207751343	207775347	Col
T2T00	Flagger	chr1	207775347	211713356	Hap
T2T00	Flagger	chr1	212021355	212065343	Dup
T2T00	Flagger	chr1	212065343	214449615	Hap
T2T00	Flagger	chr1	217278640	217327560	Col
T2T00	Flagger	chr1	217327560	219916123	Hap
T2T00	Flagger	chr1	219916123	219972145	Dup
T2T00	Flagger	chr1	224524189	228958989	Hap
T2T00	Flagger	chr1	228958989	228962994	Col
T2T00	Flagger	chr1	228962994	230099938	Hap
T2T00	Flagger	chr1	231397803	231429806	Col
T2T00	Flagger	chr1	238039098	242141239	Hap
T2T00	Flagger	chr1	242141239	242193202	Col
T2T00	Flagger	chr1	242387173	246115550	Hap
T2T00	Flagger	chr1	248373307	248384188	Err
T2T00	Flagger	chr18	80192344	80196417	Dup_windowed
T2T00	Flagger	chr18	74589828	76826525	Hap
T2T00	Flagger	chr18	72775462	72861196	Col
T2T00	Flagger	chr18	62175350	62397535	Hap
T2T00	Flagger	chr18	62397533	62438873	Col
T2T00	Flagger	chr18	62438871	62674109	Hap
T2T00	Flagger	chr18	62674107	62698512	Col
T2T00	Flagger	chr18	62698510	63333611	Hap
T2T00	Flagger	chr18	63333609	63362378	Col
T2T00	Flagger	chr18	63362376	66719261	Hap
T2T00	Flagger	chr18	66719259	66835917	Col
T2T00	Flagger	chr18	66835915	68494399	Hap
T2T00	Flagger	chr18	68494397	68512713	Col
T2T00	Flagger	chr18	68512711	68581218	Hap
T2T00	Flagger	chr18	68581216	68612109	Col
T2T00	Flagger	chr18	68612107	69782844	Hap
T2T00	Flagger	chr18	69782842	69833803	Col
T2T00	Flagger	chr18	69833801	72750162	Hap
T2T00	Flagger	chr18	60490871	60543700	Col
T2T00	Flagger	chr18	60543698	60619734	Hap
T2T00	Flagger	chr18	60619732	60628838	Col
T2T00	Flagger	chr18	56465446	60187473	Hap
T2T00	Flagger	chr18	52696037	52766802	Col
T2T00	Flagger	chr18	49638798	51332421	Hap
T2T00	Flagger	chr18	49439958	49459318	Col
T2T00	Flagger	chr18	39673079	40431637	Hap
T2T00	Flagger	chr18	40431635	40545501	Dup
T2T00	Flagger	chr18	40545499	45397166	Hap
T2T00	Flagger	chr18	45397164	45418966	Dup
T2T00	Flagger	chr18	45418964	46128299	Hap
T2T00	Flagger	chr18	46128297	46178698	Col
T2T00	Flagger	chr18	46178696	46676769	Hap
T2T00	Flagger	chr18	46676767	46697911	Col
T2T00	Flagger	chr18	31342773	35175650	Hap
T2T00	Flagger	chr18	31327221	31340370	Col
T2T00	Flagger	chr18	29785873	29791606	Hap
T2T00	Flagger	chr18	29791604	29917997	Col
T2T00	Flagger	chr18	29917995	29979381	Hap
T2T00	Flagger	chr18	29979379	30075938	Col
T2T00	Flagger	chr18	22936772	25569485	Hap
T2T00	Flagger	chr18	25569483	25640712	Col
T2T00	Flagger	chr18	25640710	28039608	Hap
T2T00	Flagger	chr18	18068157	18104339	Err
T2T00	Flagger	chr18	18104337	18130845	Dup
T2T00	Flagger	chr18	15272579	15404141	Hap
T2T00	Flagger	chr18	15404139	15438225	Col
T2T00	Flagger	chr18	11176996	15268559	Hap
T2T00	Flagger	chr18	5674385	5769139	Col
T2T00	Flagger	chr18	5769137	10753687	Hap
T2T00	Flagger	chr21	44513666	44515196	Dup_windowed
T2T00	Flagger	chr21	44513666	44682835	Hap
T2T00	Flagger	chr21	44682833	44720694	Dup
T2T00	Flagger	chr21	44720692	45086600	Hap
T2T00	Flagger	chr21	42829107	42849107	Dup
T2T00	Flagger	chr21	36096078	37760984	Hap
T2T00	Flagger	chr21	37760982	37835700	Col
T2T00	Flagger	chr21	25011507	31730383	Hap
T2T00	Flagger	chr21	31730381	31757184	Col
T2T00	Flagger	chr21	22557902	24175375	Hap
T2T00	Flagger	chr21	24175373	24212207	Col
T2T00	Flagger	chr21	24212205	24350449	Hap
T2T00	Flagger	chr21	24350447	24367344	Col
T2T00	Flagger	chr21	24367342	24987077	Hap
T2T00	Flagger	chr21	20082415	20127675	Col
T2T00	Flagger	chr21	20127673	20167256	Hap
T2T00	Flagger	chr21	20167254	20201444	Col
T2T00	Flagger	chr21	20201442	20539347	Hap
T2T00	Flagger	chr21	20539345	20611103	Col
T2T00	Flagger	chr21	20611101	21175645	Hap
T2T00	Flagger	chr21	21175643	21247724	Col
T2T00	Flagger	chr21	21247722	21561197	Hap
T2T00	Flagger	chr21	21561195	21611069	Col
T2T00	Flagger	chr21	21611067	21648531	Hap
T2T00	Flagger	chr21	21648529	21758417	Col
T2T00	Flagger	chr21	18671499	18725911	Hap
T2T00	Flagger	chr21	18725909	18811193	Col
T2T00	Flagger	chr21	18811191	19063618	Hap
T2T00	Flagger	chr21	19063616	19134591	Col
T2T00	Flagger	chr21	17381744	17988519	Hap
T2T00	Flagger	chr21	17988517	18038027	Col
T2T00	Flagger	chr21	12214911	13760823	Hap
T2T00	Flagger	chr21	13760821	13851181	Col
T2T00	Flagger	chr21	13851179	15860239	Hap
T2T00	Flagger	chr21	15860237	15888901	Col
T2T00	Flagger	chr21	15888899	16608544	Hap
T2T00	Flagger	chr21	10700405	10785035	Col
T2T00	Flagger	chr21	9437756	9810629	Hap
T2T00	Flagger	chr21	9810627	9885968	Dup
T2T00	Flagger	chr21	9885966	10691145	Hap
T2T00	Flagger	chr21	8465243	8507775	Col
T2T00	Flagger	chr21	8507773	8884568	Hap
T2T00	Flagger	chr21	8048294	8154205	Col
T2T00	Flagger	chr21	8154203	8180538	Hap
T2T00	Flagger	chr21	7831527	7933232	Hap
T2T00	Flagger	chr21	6829689	6879833	Col
T2T00	Flagger	chr21	6480605	6663192	Hap
T2T00	Flagger	chr21	6318116	6354444	Col
T2T00	Flagger	chr21	5918624	6171154	Hap
T2T00	Flagger	chr14	3066913	3068958	Err
T2T00	Flagger	chr10	2986	7054	Dup_windowed
T2T00	Flagger	chr10	2986	50250	Hap
T2T00	Flagger	chr10	50250	98216	Dup
T2T00	Flagger	chr10	1326541	1683412	Hap
T2T00	Flagger	chr10	1683412	1723451	Col
T2T00	Flagger	chr10	1723451	2390962	Hap
T2T00	Flagger	chr10	2680729	2708721	Col
T2T00	Flagger	chr10	11207832	13727017	Hap
T2T00	Flagger	chr10	14155488	14195475	Col
T2T00	Flagger	chr10	14195475	17169445	Hap
T2T00	Flagger	chr10	17169445	17217491	Col
T2T00	Flagger	chr10	17217491	19152902	Hap
T2T00	Flagger	chr10	19152902	19188903	Col
T2T00	Flagger	chr10	19188903	19904881	Hap
T2T00	Flagger	chr10	19904881	19985187	Col
T2T00	Flagger	chr10	19985187	22081205	Hap
T2T00	Flagger	chr10	22081205	22141219	Col
T2T00	Flagger	chr10	22141219	23029838	Hap
T2T00	Flagger	chr10	23305267	23381392	Dup
T2T00	Flagger	chr10	23381392	24165386	Hap
T2T00	Flagger	chr10	24165386	24217386	Col
T2T00	Flagger	chr10	24576413	25485343	Hap
T2T00	Flagger	chr10	25485343	25529346	Col
T2T00	Flagger	chr10	25899479	26965370	Hap
T2T00	Flagger	chr10	27966500	28010501	Col
T2T00	Flagger	chr10	28010501	28634011	Hap
T2T00	Flagger	chr10	28634011	28678025	Dup
T2T00	Flagger	chr10	30708506	36719755	Hap
T2T00	Flagger	chr10	36719755	36771848	Col
T2T00	Flagger	chr10	37100693	38140303	Hap
T2T00	Flagger	chr10	38140303	38176301	Col
T2T00	Flagger	chr10	38176301	39377695	Hap
T2T00	Flagger	chr10	39377695	39416211	Col
T2T00	Flagger	chr10	39441898	39645315	Hap
T2T00	Flagger	chr10	41965006	41985010	Col
T2T00	Flagger	chr10	41985010	42085223	Hap
T2T00	Flagger	chr10	42878572	42911163	Col
T2T00	Flagger	chr10	42911163	42934330	Hap
T2T00	Flagger	chr10	42948639	42963161	Col_windowed
T2T00	Flagger	chr10	42963161	43652365	Hap
T2T00	Flagger	chr10	43652365	43688354	Dup
T2T00	Flagger	chr10	43688354	46029625	Hap
T2T00	Flagger	chr10	46029625	46113620	Dup
T2T00	Flagger	chr10	46113620	47728087	Hap
T2T00	Flagger	chr10	48416267	48456269	Dup
T2T00	Flagger	chr10	48456269	48676268	Hap
T2T00	Flagger	chr10	48676268	48708261	Dup
T2T00	Flagger	chr10	49504398	52680488	Hap
T2T00	Flagger	chr10	52680488	52728477	Col
T2T00	Flagger	chr10	52728477	53682201	Hap
T2T00	Flagger	chr10	54281154	54345128	Col
T2T00	Flagger	chr10	54345128	55460871	Hap
T2T00	Flagger	chr10	55460871	55552884	Col
T2T00	Flagger	chr10	55552884	55724684	Hap
T2T00	Flagger	chr10	55724684	55781052	Col
T2T00	Flagger	chr10	55863586	56273041	Hap
T2T00	Flagger	chr10	56273041	56385178	Col
T2T00	Flagger	chr10	56385178	57125026	Hap
T2T00	Flagger	chr10	57125026	57193026	Col
T2T00	Flagger	chr10	58352419	61324599	Hap
T2T00	Flagger	chr10	62457882	62501898	Col
T2T00	Flagger	chr10	62501898	62997790	Hap
T2T00	Flagger	chr10	62997790	63049794	Col
T2T00	Flagger	chr10	63049794	63737888	Hap
T2T00	Flagger	chr10	63737888	63793840	Dup
T2T00	Flagger	chr10	63793840	64057848	Hap
T2T00	Flagger	chr10	64057848	64121861	Col
T2T00	Flagger	chr10	64121861	64668407	Hap
T2T00	Flagger	chr10	65404142	65472136	Col
T2T00	Flagger	chr10	65472136	65778015	Hap
T2T00	Flagger	chr10	65778015	65882098	Col
T2T00	Flagger	chr10	65947236	65985817	Hap
T2T00	Flagger	chr10	65985817	66021827	Col
T2T00	Flagger	chr10	66021827	66469823	Hap
T2T00	Flagger	chr10	66469823	66513811	Col
T2T00	Flagger	chr10	66513811	71444907	Hap
T2T00	Flagger	chr10	73108570	73200565	Dup
T2T00	Flagger	chr10	73200565	74501024	Hap
T2T00	Flagger	chr10	74501024	74557020	Dup
T2T00	Flagger	chr10	74557020	74661049	Hap
T2T00	Flagger	chr10	74661049	74697042	Dup
T2T00	Flagger	chr10	81638353	83778317	Hap
T2T00	Flagger	chr10	83778317	83822304	Col
T2T00	Flagger	chr10	83822304	84936036	Hap
T2T00	Flagger	chr10	84936036	84956037	Dup
T2T00	Flagger	chr10	84956037	88888417	Hap
T2T00	Flagger	chr10	88888417	88908419	Col
T2T00	Flagger	chr10	88908419	89260080	Hap
T2T00	Flagger	chr10	89260080	89320139	Col
T2T00	Flagger	chr10	89320139	89516157	Hap
T2T00	Flagger	chr10	89516157	89620047	Col
T2T00	Flagger	chr10	92894544	95412269	Hap
T2T00	Flagger	chr10	95412269	95484278	Col
T2T00	Flagger	chr10	95484278	97188245	Hap
T2T00	Flagger	chr10	97188245	97232248	Dup
T2T00	Flagger	chr10	97232248	97248276	Hap
T2T00	Flagger	chr10	97248276	97340361	Dup
T2T00	Flagger	chr10	97340361	98360608	Hap
T2T00	Flagger	chr10	98360608	98364608	Dup
T2T00	Flagger	chr10	98924881	100975840	Hap
T2T00	Flagger	chr10	102960132	103028154	Dup
T2T00	Flagger	chr10	104138821	108748230	Hap
T2T00	Flagger	chr10	110806070	110878084	Dup
T2T00	Flagger	chr10	112133857	114975557	Hap
T2T00	Flagger	chr10	122803967	122828146	Dup
T2T00	Flagger	chr10	125350847	128241744	Hap
T2T00	Flagger	chr10	134701387	134755012	Err
T2T00	Flagger	chr3	2598	4054	Err
T2T00	Flagger	chr3	4054	1239488	Hap
T2T00	Flagger	chr3	1430889	1570927	Col
T2T00	Flagger	chr3	1570927	1639003	Hap
T2T00	Flagger	chr3	1639003	1691037	Col
T2T00	Flagger	chr3	1874265	1967067	Hap
T2T00	Flagger	chr3	1967067	2019087	Col
T2T00	Flagger	chr3	2019087	4019233	Hap
T2T00	Flagger	chr3	4019233	4051229	Dup
T2T00	Flagger	chr3	4051229	6262302	Hap
T2T00	Flagger	chr3	6927645	6999647	Col
T2T00	Flagger	chr3	6999647	7067640	Hap
T2T00	Flagger	chr3	7067640	7135629	Col
T2T00	Flagger	chr3	8670382	11091897	Hap
T2T00	Flagger	chr3	11091897	11127880	Dup
T2T00	Flagger	chr3	11127880	12767909	Hap
T2T00	Flagger	chr3	12767909	12787869	Dup
T2T00	Flagger	chr3	13450515	16310734	Hap
T2T00	Flagger	chr3	16801416	16829435	Dup
T2T00	Flagger	chr3	16829435	17101387	Hap
T2T00	Flagger	chr3	17101387	17145384	Col
T2T00	Flagger	chr3	17145384	17933515	Hap
T2T00	Flagger	chr3	17933515	17985538	Col
T2T00	Flagger	chr3	20310058	21445962	Hap
T2T00	Flagger	chr3	21445962	21561941	Col
T2T00	Flagger	chr3	21561941	24394841	Hap
T2T00	Flagger	chr3	24394841	24442837	Col
T2T00	Flagger	chr3	24442837	25729644	Hap
T2T00	Flagger	chr3	25729644	25769647	Dup
T2T00	Flagger	chr3	25769647	26668395	Hap
T2T00	Flagger	chr3	26668395	26680373	Col
T2T00	Flagger	chr3	26680373	27264364	Hap
T2T00	Flagger	chr3	27264364	27356263	Dup
T2T00	Flagger	chr3	27356263	28176431	Hap
T2T00	Flagger	chr3	28176431	28280366	Col
T2T00	Flagger	chr3	28280366	36301213	Hap
T2T00	Flagger	chr3	38398987	38494989	Dup
T2T00	Flagger	chr3	40227338	45635153	Hap
T2T00	Flagger	chr3	45635153	45743254	Dup
T2T00	Flagger	chr3	45743254	46715558	Hap
T2T00	Flagger	chr3	46715558	46791552	Dup
T2T00	Flagger	chr3	46791552	48654308	Hap
T2T00	Flagger	chr3	48654308	48714311	Dup
T2T00	Flagger	chr3	48714311	50254859	Hap
T2T00	Flagger	chr3	50254859	50411232	Dup
T2T00	Flagger	chr3	50411232	50583258	Hap
T2T00	Flagger	chr3	50583258	50659321	Dup
T2T00	Flagger	chr3	50659321	50878992	Hap
T2T00	Flagger	chr3	50878992	50926995	Dup
T2T00	Flagger	chr3	51046374	52327073	Hap
T2T00	Flagger	chr3	52327073	52503167	Dup
T2T00	Flagger	chr3	62643423	67878363	Hap
T2T00	Flagger	chr3	67878363	67890365	Dup
T2T00	Flagger	chr3	67890365	68546281	Hap
T2T00	Flagger	chr3	68546281	68598287	Dup
T2T00	Flagger	chr3	68598287	69047253	Hap
T2T00	Flagger	chr3	69047253	69075276	Col
T2T00	Flagger	chr3	69174930	74716395	Hap
T2T00	Flagger	chr3	74716395	74784401	Dup
T2T00	Flagger	chr3	74784401	76721337	Hap
T2T00	Flagger	chr3	77802679	77846685	Col
T2T00	Flagger	chr3	77846685	77950683	Hap
T2T00	Flagger	chr3	77950683	77998680	Col
T2T00	Flagger	chr3	78237586	78966174	Hap
T2T00	Flagger	chr3	78966174	79046159	Col
T2T00	Flagger	chr3	79046159	79334173	Hap
T2T00	Flagger	chr3	79334173	79402180	Col
T2T00	Flagger	chr3	79402180	80070128	Hap
T2T00	Flagger	chr3	80070128	80106112	Col
T2T00	Flagger	chr3	80106112	80570049	Hap
T2T00	Flagger	chr3	80570049	80595964	Col
T2T00	Flagger	chr3	80595964	80939633	Hap
T2T00	Flagger	chr3	80939633	80983947	Col
T2T00	Flagger	chr3	80983947	82517714	Hap
T2T00	Flagger	chr3	82720069	82828097	Col
T2T00	Flagger	chr3	82828097	82888152	Hap
T2T00	Flagger	chr3	82973514	83012242	Col
T2T00	Flagger	chr3	83012242	83156233	Hap
T2T00	Flagger	chr3	83156233	83292307	Col
T2T00	Flagger	chr3	83292307	84365889	Hap
T2T00	Flagger	chr3	84365889	84397916	Col
T2T00	Flagger	chr3	84397916	84572331	Hap
T2T00	Flagger	chr3	84572331	84652333	Col
T2T00	Flagger	chr3	84652333	88468872	Hap
T2T00	Flagger	chr3	88468872	88552900	Col
T2T00	Flagger	chr3	88552900	89641023	Hap
T2T00	Flagger	chr3	89641023	89681025	Col
T2T00	Flagger	chr3	89681025	90697062	Hap
T2T00	Flagger	chr3	90697062	90721063	Col
T2T00	Flagger	chr3	90721063	91384994	Hap
T2T00	Flagger	chr3	91384994	91472495	Col
T2T00	Flagger	chr3	91472495	92075440	Hap
T2T00	Flagger	chr3	92583364	92636357	Err_windowed
T2T00	Flagger	chr3	92616551	92785384	Hap
T2T00	Flagger	chr3	92785384	92823716	Col
T2T00	Flagger	chr3	95362434	95377056	Col
T2T00	Flagger	chr3	96229076	96996455	Hap
T2T00	Flagger	chr3	96996455	97040453	Col
T2T00	Flagger	chr3	97040453	97772483	Hap
T2T00	Flagger	chr3	97772483	97832485	Col
T2T00	Flagger	chr3	97832485	100548475	Hap
T2T00	Flagger	chr3	100548475	100552475	Col
T2T00	Flagger	chr3	100552475	101220479	Hap
T2T00	Flagger	chr3	101220479	101268478	Col
T2T00	Flagger	chr3	101268478	101857092	Hap
T2T00	Flagger	chr3	101857092	101917082	Col
T2T00	Flagger	chr3	101917082	102232303	Hap
T2T00	Flagger	chr3	102232303	102312347	Col
T2T00	Flagger	chr3	102312347	105067055	Hap
T2T00	Flagger	chr3	105067055	105089855	Col
T2T00	Flagger	chr3	105115390	106411557	Hap
T2T00	Flagger	chr3	106411557	106459540	Col
T2T00	Flagger	chr3	106459540	107770041	Hap
T2T00	Flagger	chr3	107918871	107958883	Col
T2T00	Flagger	chr3	107958883	109082939	Hap
T2T00	Flagger	chr3	109082939	109118952	Col
T2T00	Flagger	chr3	111296148	113217825	Hap
T2T00	Flagger	chr3	113217825	113289824	Col
T2T00	Flagger	chr3	113289824	115444444	Hap
T2T00	Flagger	chr3	115445581	115500741	Col
T2T00	Flagger	chr3	115500741	118076680	Hap
T2T00	Flagger	chr3	118076680	118164692	Col
T2T00	Flagger	chr3	118164692	119776836	Hap
T2T00	Flagger	chr3	119776836	119808846	Col
T2T00	Flagger	chr3	119808846	120020912	Hap
T2T00	Flagger	chr3	120020912	120052913	Col
T2T00	Flagger	chr3	120052913	120548843	Hap
T2T00	Flagger	chr3	120548843	120592847	Col
T2T00	Flagger	chr3	123913342	132682722	Hap
T2T00	Flagger	chr3	133985869	134017868	Col
T2T00	Flagger	chr3	136247373	144271564	Hap
T2T00	Flagger	chr3	144271564	144383573	Col
T2T00	Flagger	chr3	144383573	145263369	Hap
T2T00	Flagger	chr3	145263369	145295330	Col
T2T00	Flagger	chr3	145295330	146196387	Hap
T2T00	Flagger	chr3	147121948	147197859	Col
T2T00	Flagger	chr3	147197859	147369571	Hap
T2T00	Flagger	chr3	147369571	147437536	Col
T2T00	Flagger	chr3	147437536	148893801	Hap
T2T00	Flagger	chr3	148893801	148941776	Col
T2T00	Flagger	chr3	148941776	149149770	Hap
T2T00	Flagger	chr3	149149770	149189714	Col
T2T00	Flagger	chr3	149390757	150109768	Hap
T2T00	Flagger	chr3	150109768	150221776	Dup
T2T00	Flagger	chr3	150221776	150893788	Hap
T2T00	Flagger	chr3	150893788	150913739	Col
T2T00	Flagger	chr3	151512632	151957940	Hap
T2T00	Flagger	chr3	151957940	152005941	Col
T2T00	Flagger	chr3	152005941	154313554	Hap
T2T00	Flagger	chr3	154313554	154389584	Col
T2T00	Flagger	chr3	154588605	155016509	Hap
