metric	value	haplotype	asm_method	asm_name	source	chromosome
Number of mapped sequences	25	haplotype1	phased_verkko	TUE_02_06UL	stat	NA
Number of primary alignments	13860	haplotype1	phased_verkko	TUE_02_06UL	stat	NA
Number of secondary alignments	956	haplotype1	phased_verkko	TUE_02_06UL	stat	NA
Number of primary alignments with >65535 CIGAR operations	0	haplotype1	phased_verkko	TUE_02_06UL	stat	NA
Number of bases in mapped sequences	2927651189	haplotype1	phased_verkko	TUE_02_06UL	stat	NA
Number of mapped bases	2897762324	haplotype1	phased_verkko	TUE_02_06UL	stat	NA
Number of substitutions	4173088	haplotype1	phased_verkko	TUE_02_06UL	stat	NA
Number of insertions in [0,50)	340540	haplotype1	phased_verkko	TUE_02_06UL	stat	NA
Number of insertions in [50,100)	3509	haplotype1	phased_verkko	TUE_02_06UL	stat	NA
Number of insertions in [100,300)	3019	haplotype1	phased_verkko	TUE_02_06UL	stat	NA
Number of insertions in [300,400)	2014	haplotype1	phased_verkko	TUE_02_06UL	stat	NA
Number of insertions in [400,1000)	1642	haplotype1	phased_verkko	TUE_02_06UL	stat	NA
Number of insertions in [1000,inf)	2479	haplotype1	phased_verkko	TUE_02_06UL	stat	NA
Number of deletions in [0,50)	406017	haplotype1	phased_verkko	TUE_02_06UL	stat	NA
Number of deletions in [50,100)	3670	haplotype1	phased_verkko	TUE_02_06UL	stat	NA
Number of deletions in [100,300)	3379	haplotype1	phased_verkko	TUE_02_06UL	stat	NA
Number of deletions in [300,400)	1867	haplotype1	phased_verkko	TUE_02_06UL	stat	NA
Number of deletions in [400,1000)	2275	haplotype1	phased_verkko	TUE_02_06UL	stat	NA
Number of deletions in [1000,inf)	2223	haplotype1	phased_verkko	TUE_02_06UL	stat	NA
Number of mapped sequences	31	haplotype2	phased_verkko	TUE_02_06UL	stat	NA
Number of primary alignments	11137	haplotype2	phased_verkko	TUE_02_06UL	stat	NA
Number of secondary alignments	914	haplotype2	phased_verkko	TUE_02_06UL	stat	NA
Number of primary alignments with >65535 CIGAR operations	0	haplotype2	phased_verkko	TUE_02_06UL	stat	NA
Number of bases in mapped sequences	3021381991	haplotype2	phased_verkko	TUE_02_06UL	stat	NA
Number of mapped bases	3000173401	haplotype2	phased_verkko	TUE_02_06UL	stat	NA
Number of substitutions	3701736	haplotype2	phased_verkko	TUE_02_06UL	stat	NA
Number of insertions in [0,50)	334673	haplotype2	phased_verkko	TUE_02_06UL	stat	NA
Number of insertions in [50,100)	3280	haplotype2	phased_verkko	TUE_02_06UL	stat	NA
Number of insertions in [100,300)	3822	haplotype2	phased_verkko	TUE_02_06UL	stat	NA
Number of insertions in [300,400)	1769	haplotype2	phased_verkko	TUE_02_06UL	stat	NA
Number of insertions in [400,1000)	1494	haplotype2	phased_verkko	TUE_02_06UL	stat	NA
Number of insertions in [1000,inf)	2236	haplotype2	phased_verkko	TUE_02_06UL	stat	NA
Number of deletions in [0,50)	400596	haplotype2	phased_verkko	TUE_02_06UL	stat	NA
Number of deletions in [50,100)	3161	haplotype2	phased_verkko	TUE_02_06UL	stat	NA
Number of deletions in [100,300)	3075	haplotype2	phased_verkko	TUE_02_06UL	stat	NA
Number of deletions in [300,400)	1921	haplotype2	phased_verkko	TUE_02_06UL	stat	NA
Number of deletions in [400,1000)	1891	haplotype2	phased_verkko	TUE_02_06UL	stat	NA
Number of deletions in [1000,inf)	2221	haplotype2	phased_verkko	TUE_02_06UL	stat	NA
Number of mapped sequences	544	haplotype1	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of primary alignments	12994	haplotype1	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of secondary alignments	4669	haplotype1	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of primary alignments with >65535 CIGAR operations	0	haplotype1	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of bases in mapped sequences	2953024532	haplotype1	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of mapped bases	2921180821	haplotype1	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of substitutions	4128839	haplotype1	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of insertions in [0,50)	371265	haplotype1	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of insertions in [50,100)	3316	haplotype1	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of insertions in [100,300)	4472	haplotype1	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of insertions in [300,400)	2026	haplotype1	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of insertions in [400,1000)	1899	haplotype1	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of insertions in [1000,inf)	2502	haplotype1	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of deletions in [0,50)	407141	haplotype1	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of deletions in [50,100)	3342	haplotype1	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of deletions in [100,300)	3242	haplotype1	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of deletions in [300,400)	2083	haplotype1	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of deletions in [400,1000)	2183	haplotype1	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of deletions in [1000,inf)	2466	haplotype1	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of mapped sequences	621	haplotype2	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of primary alignments	13532	haplotype2	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of secondary alignments	6650	haplotype2	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of primary alignments with >65535 CIGAR operations	0	haplotype2	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of bases in mapped sequences	3048173290	haplotype2	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of mapped bases	3020884868	haplotype2	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of substitutions	3886465	haplotype2	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of insertions in [0,50)	385976	haplotype2	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of insertions in [50,100)	3612	haplotype2	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of insertions in [100,300)	3071	haplotype2	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of insertions in [300,400)	2109	haplotype2	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of insertions in [400,1000)	1690	haplotype2	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of insertions in [1000,inf)	2332	haplotype2	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of deletions in [0,50)	420772	haplotype2	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of deletions in [50,100)	3553	haplotype2	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of deletions in [100,300)	3287	haplotype2	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of deletions in [300,400)	2006	haplotype2	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of deletions in [400,1000)	5108	haplotype2	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of deletions in [1000,inf)	2205	haplotype2	phased_verkko	TUE_02_01UL_01DX	stat	NA
Number of mapped sequences	103	haplotype1	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of primary alignments	15373	haplotype1	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of secondary alignments	2291	haplotype1	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of primary alignments with >65535 CIGAR operations	0	haplotype1	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of bases in mapped sequences	2945025042	haplotype1	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of mapped bases	2914194414	haplotype1	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of substitutions	4337375	haplotype1	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of insertions in [0,50)	360733	haplotype1	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of insertions in [50,100)	3654	haplotype1	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of insertions in [100,300)	4063	haplotype1	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of insertions in [300,400)	2230	haplotype1	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of insertions in [400,1000)	1938	haplotype1	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of insertions in [1000,inf)	2571	haplotype1	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of deletions in [0,50)	414875	haplotype1	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of deletions in [50,100)	3682	haplotype1	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of deletions in [100,300)	3653	haplotype1	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of deletions in [300,400)	2341	haplotype1	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of deletions in [400,1000)	2628	haplotype1	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of deletions in [1000,inf)	2423	haplotype1	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of mapped sequences	151	haplotype2	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of primary alignments	11871	haplotype2	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of secondary alignments	4307	haplotype2	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of primary alignments with >65535 CIGAR operations	0	haplotype2	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of bases in mapped sequences	3036214240	haplotype2	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of mapped bases	3012214648	haplotype2	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of substitutions	3806964	haplotype2	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of insertions in [0,50)	353578	haplotype2	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of insertions in [50,100)	3290	haplotype2	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of insertions in [100,300)	3327	haplotype2	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of insertions in [300,400)	2003	haplotype2	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of insertions in [400,1000)	1673	haplotype2	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of insertions in [1000,inf)	2376	haplotype2	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of deletions in [0,50)	408201	haplotype2	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of deletions in [50,100)	3327	haplotype2	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of deletions in [100,300)	3186	haplotype2	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of deletions in [300,400)	1867	haplotype2	phased_verkko	TUE_02_02UL_01DX	stat	NA
Number of deletions in [400,1000)	2030	haplotype2	phased_verkko	TUE_02_02UL_01DX	stat	NA
