asm_name	haplotype	% of Assembly covered by Ref	% of Ref covered by Assembly	% of Ref duplicated in Assembly	Assembly Length	Average Ungapped Alignment length	Covered Variants (Total)	Error Rate	Genome Completeness	Missing Multi-Copy Genes (%)	NG50	NG75	NGA50	Number of Breaks in Assembly	Number of T2T chromosomes	Number of Y Chromosomes	Overall Switch Flip Rate (%)	Overall Switch Rate (%)	Phase Blocks	Quality Value	Variants	Variants Phased	Variants Unphased	singletons
TUE_02_03UL	both	1.94	1.92	1.83	12256710154	12330763	402000	0%	11.57	0.02	210809700	186484529	10836556	52750	38	2	0.04	0.05	23	122.04	5095873	3520818	46751	0
TUE_02_03UL	haplotype1	0.97	0.9	0.01	2934985356	4167916	NA	0%	94.61	0.19	137904320	101150053	3281239	12532	20	NA	NA	NA	NA	63.76	NA	NA	NA	NA
TUE_02_03UL	haplotype2	0.97	0.94	0.01	3028541959	4482112	NA	0%	98.41	0.22	145923310	103627408	3562253	13179	18	NA	NA	NA	NA	63.36	NA	NA	NA	NA
TUE_02_03UL_01DX	both	1.94	1.92	1.83	12263466501	11988504	402159	0%	11.71	0.02	207287224	184002449	10506157	52341	37	2	0.04	0.05	23	121.96	5110233	3525944	61606	0
TUE_02_03UL_01DX	haplotype1	0.97	0.9	0.01	2930732422	4130439	NA	0%	94.54	0.17	137902223	94931416	3344037	13072	19	NA	NA	NA	NA	63.94	NA	NA	NA	NA
TUE_02_03UL_01DX	haplotype2	0.97	0.94	0.01	3032621955	4507555	NA	0%	98.41	0.24	145882340	103846816	3478995	12322	17	NA	NA	NA	NA	63.05	NA	NA	NA	NA
TUE_02_03UL_02DX	both	1.94	1.92	1.84	12376356098	12246960	402493	0%	11.54	0.03	209070854	184960440	10712840	54070	33	2	0.04	0.05	23	120.53	5092026	3508437	52168	0
TUE_02_03UL_02DX	haplotype1	0.97	0.9	0.01	2925767487	4224704	NA	0%	94.65	0.2	138998309	95089159	3291037	13053	14	NA	NA	NA	NA	63.9	NA	NA	NA	NA
TUE_02_03UL_02DX	haplotype2	0.97	0.94	0.01	3044091962	4444681	NA	0%	98.37	0.21	145925812	104169719	3555622	12430	19	NA	NA	NA	NA	63.21	NA	NA	NA	NA
TUE_02_04UL	both	1.94	1.92	1.83	12163297734	13045569	402505	0%	11.55	0.02	223168496	194247587	11513760	52518	38	2	0.04	0.05	23	119.82	5092771	3519750	50496	0
TUE_02_04UL	haplotype1	0.96	0.9	0.01	2930290900	4194994	NA	0%	94.61	0.19	138860432	101384248	3288891	13655	19	NA	NA	NA	NA	64.56	NA	NA	NA	NA
TUE_02_04UL	haplotype2	0.97	0.94	0.01	3028053290	4469591	NA	0%	98.41	0.21	145924097	107694806	3545429	11604	18	NA	NA	NA	NA	61.57	NA	NA	NA	NA
TUE_02_04UL_01DX	both	1.94	1.92	1.83	12158036727	12977972	402897	0%	11.59	0.02	220885001	193579670	11383455	50929	36	2	0.04	0.05	23	122.25	5081329	3517410	46464	0
TUE_02_04UL_01DX	haplotype1	0.96	0.9	0.01	2932735337	4225711	NA	0%	94.63	0.19	137902162	101066506	3297399	13460	18	NA	NA	NA	NA	64.43	NA	NA	NA	NA
TUE_02_04UL_01DX	haplotype2	0.98	0.94	0.01	3020334021	4404102	NA	0%	98.37	0.21	145924344	106120458	3549317	11095	17	NA	NA	NA	NA	62.34	NA	NA	NA	NA
TUE_02_04UL_02DX	both	1.94	1.92	1.84	12379302106	12668985	402046	0%	11.49	0.02	213601381	189548531	11172320	54275	36	2	0.04	0.05	23	119.68	5082529	3509298	56700	0
TUE_02_04UL_02DX	haplotype1	0.97	0.9	0.01	2932012288	4163205	NA	0%	94.61	0.18	136553014	94781850	3238205	12962	19	NA	NA	NA	NA	62.87	NA	NA	NA	NA
TUE_02_04UL_02DX	haplotype2	0.97	0.94	0.01	3044735610	4439584	NA	0%	98.35	0.23	146074281	106371707	3575317	12666	17	NA	NA	NA	NA	62.77	NA	NA	NA	NA
TUE_02_05UL	both	1.94	1.92	1.84	12119888748	13613731	403521	0%	11.45	0.02	230041912	202014918	11929518	51817	37	2	0.04	0.05	23	121.27	5090563	3527565	39266	0
TUE_02_05UL	haplotype1	0.97	0.9	0.01	2932576457	4367082	NA	0%	94.73	0.19	138977663	101229970	3442762	12778	19	NA	NA	NA	NA	61.04	NA	NA	NA	NA
TUE_02_05UL	haplotype2	0.97	0.94	0.01	3023845526	4326744	NA	0%	98.34	0.21	145735139	106219300	3415384	12299	18	NA	NA	NA	NA	64.3	NA	NA	NA	NA
TUE_02_05UL_01DX	both	1.94	1.92	1.84	12106748199	13309667	402920	0%	11.38	0.02	224471667	199380965	11668171	51627	35	2	0.04	0.05	23	123.15	5088721	3537808	37826	0
TUE_02_05UL_01DX	haplotype1	0.97	0.9	0.01	2920136401	4173381	NA	0%	94.73	0.19	136578252	101030439	3380893	13488	16	NA	NA	NA	NA	64.77	NA	NA	NA	NA
TUE_02_05UL_01DX	haplotype2	0.98	0.94	0.01	3028072766	4487819	NA	0%	98.38	0.22	145924480	106295311	3461567	11533	18	NA	NA	NA	NA	63.11	NA	NA	NA	NA
TUE_02_05UL_02DX	both	1.94	1.92	1.84	12393178027	13238501	403144	0%	11.27	0.02	225458212	199382605	11668175	54435	34	2	0.04	0.05	23	118.83	5088818	3506073	67978	0
TUE_02_05UL_02DX	haplotype1	0.96	0.9	0.01	2941923782	4181528	NA	0%	94.62	0.18	138703562	95929432	3202388	12759	15	NA	NA	NA	NA	64.18	NA	NA	NA	NA
TUE_02_05UL_02DX	haplotype2	0.97	0.94	0.01	3038582854	4482213	NA	0%	98.37	0.2	145736393	107349773	3667514	12854	19	NA	NA	NA	NA	61.35	NA	NA	NA	NA
TUE_02_06UL	both	1.94	1.92	1.84	12119781743	13619807	403067	0%	11.4	0.02	235336525	210031177	11953153	52364	37	2	0.04	0.05	23	123.86	5081609	3523804	42161	0
TUE_02_06UL	haplotype1	0.96	0.9	0.01	2927651189	4223367	NA	0%	94.71	0.2	136557240	101179895	3278964	13835	19	NA	NA	NA	NA	65.1	NA	NA	NA	NA
TUE_02_06UL	haplotype2	0.98	0.94	0.01	3021381991	4470877	NA	0%	98.33	0.21	145924266	106210595	3575281	11106	18	NA	NA	NA	NA	64.34	NA	NA	NA	NA
TUE_02_06UL_01DX	both	1.94	1.92	1.84	12105428072	13655613	403047	0%	11.38	0.02	235331466	208593705	11953190	51714	39	2	0.04	0.05	23	123.12	5091828	3520484	55192	0
TUE_02_06UL_01DX	haplotype1	0.96	0.9	0.01	2925951872	4197614	NA	0%	94.73	0.19	136530874	101058500	3288886	13711	18	NA	NA	NA	NA	64.87	NA	NA	NA	NA
TUE_02_06UL_01DX	haplotype2	0.98	0.94	0.01	3031764505	4489023	NA	0%	98.43	0.21	145924480	103733362	3644121	11691	20	NA	NA	NA	NA	63.25	NA	NA	NA	NA
TUE_02_06UL_02DX	both	1.93	1.92	1.84	12511900811	13333556	403464	0.048%	11.37	0.02	227511088	200376728	11718592	54703	33	2	0.04	0.05	23	95.95	5091311	3527859	45221	0
TUE_02_06UL_02DX	haplotype1	0.97	0.9	0.01	2945882632	4295234	NA	0%	94.56	0.19	138774233	101856890	3287655	12197	17	NA	NA	NA	NA	63.69	NA	NA	NA	NA
TUE_02_06UL_02DX	haplotype2	0.97	0.93	0.01	3044443652	4326387	NA	0%	98.44	0.21	145735886	107130993	3590515	13673	16	NA	NA	NA	NA	62.08	NA	NA	NA	NA
